#{"t_start": 1611314391.1113448, "env_id": "TargetReachingRRBot-v0"}
r,l,t
-2428.616188,200,1.905034
-2504.044339,200,2.151965
-2423.106843,200,2.397969
-2265.731644,200,2.64315
-2645.651161,200,2.885723
-2605.41268,200,3.128248
-2703.667739,200,3.37124
-2063.414916,200,3.61086
-2399.445892,200,3.844659
-2447.370866,200,4.077535
-2132.517238,200,5.760169
-2176.229749,200,5.994146
-2635.373113,200,6.227782
-2564.367743,200,6.461781
-2029.534013,200,6.695421
-2760.87994,200,6.929056
-2711.223403,200,7.164836
-2361.456739,200,7.4022
-2362.216341,200,7.636666
-2794.419232,200,7.870156
-2284.238942,200,9.518068
-2660.98784,200,9.750532
-2282.411397,200,9.983325
-2138.024403,200,10.216308
-2347.124841,200,10.449333
-2367.812923,200,10.68186
-2707.89474,200,10.914274
-2326.290478,200,11.146529
-2851.174361,200,11.378998
-2570.522091,200,11.610626
-2385.538174,200,13.298866
-2336.451708,200,13.53225
-2415.287878,200,13.765902
-2470.182253,200,13.999919
-2512.53764,200,14.233501
-2526.357465,200,14.466356
-2420.721779,200,14.699693
-2297.765636,200,14.932728
-2468.964156,200,15.165815
-2612.173184,200,15.399355
-2598.477125,200,17.081985
-2444.062057,200,17.321081
-2448.146738,200,17.560702
-2665.419232,200,17.79731
-2295.352573,200,18.034919
-2286.149695,200,18.271951
-2564.247596,200,18.508638
-2229.060756,200,18.745478
-2731.410437,200,18.983079
-2583.462052,200,19.220255
-2537.383459,200,19.458523
-2605.786697,200,21.14946
-2556.509188,200,21.386777
-2295.938447,200,21.624555
-2401.847352,200,21.862083
-2122.278803,200,22.099732
-2388.306842,200,22.338192
-2224.472647,200,22.580746
-2583.286831,200,22.820148
-2323.24412,200,23.058029
-2209.643765,200,23.294799
-2487.24855,200,24.937743
-2542.178025,200,25.17035
-2357.666752,200,25.401702
-2712.252006,200,25.634074
-2243.460317,200,25.865291
-2466.318847,200,26.09766
-2112.406145,200,26.329341
-2390.712508,200,26.561354
-2028.581063,200,26.793165
-2707.300756,200,27.025485
-2244.803941,200,28.701283
-2524.074259,200,28.941565
-2743.386027,200,29.181662
-2235.638649,200,29.420676
-2502.783163,200,29.659802
-2401.231994,200,29.899833
-2302.10019,200,30.140266
-2566.142725,200,30.379979
-2455.131243,200,30.61988
-2608.995936,200,30.86014
-2444.27299,200,32.542938
-2908.200635,200,32.786845
-2411.088781,200,33.027179
-2093.790773,200,33.268343
-2419.775632,200,33.50845
-2540.340079,200,33.748909
-2184.918351,200,33.989372
-2277.876271,200,34.22962
-2371.850274,200,34.470823
-2367.289034,200,34.711516
-2419.100872,200,34.952399
-2381.976423,200,36.621571
-2936.129579,200,36.862349
-2155.184927,200,37.101892
-2744.398832,200,37.341666
-2238.877546,200,37.582109
-2463.716151,200,37.824707
-2556.801462,200,38.06716
-2553.877011,200,38.307765
-2369.83557,200,38.548035
-2361.993521,200,38.788137
-2494.25757,200,40.465223
-2664.110892,200,40.70522
-2691.503416,200,40.945638
-2790.188497,200,41.185922
-2553.755033,200,41.42624
-2746.164673,200,41.666946
-2746.811365,200,41.90697
-2747.000307,200,42.147712
-2500.489117,200,42.387836
-2818.385163,200,42.628219
-2267.279631,200,44.303353
-2373.547821,200,44.53686
-2339.239228,200,44.770268
-2457.522514,200,45.003139
-2548.254066,200,45.236192
-2557.043024,200,45.469429
-2114.254374,200,45.701763
-2486.97796,200,45.934451
-2379.61047,200,46.167474
-2487.77309,200,46.401186
-2508.056743,200,48.040454
-2800.002406,200,48.276371
-2280.367209,200,48.510325
-2534.828251,200,48.742977
-2558.419053,200,48.975637
-2558.332058,200,49.208061
-2653.614184,200,49.441294
-2408.48338,200,49.674049
-2387.244015,200,49.90681
-1944.476715,200,50.139885
-2674.734772,200,50.372272
-2436.557514,200,52.019867
-2561.215362,200,52.253212
-2535.188842,200,52.486342
-2572.850122,200,52.71928
-2438.969721,200,52.952731
-2312.808298,200,53.188693
-2723.712078,200,53.423753
-2441.738571,200,53.656586
-2440.347751,200,53.889631
-2478.06192,200,54.121843
-2671.658683,200,55.779243
-2369.48903,200,56.020491
-2249.165599,200,56.26123
-2395.201044,200,56.501952
-2581.188691,200,56.742379
-2408.919456,200,56.982513
-2646.976449,200,57.223174
-2341.900996,200,57.463823
-2346.161047,200,57.704281
-2591.595566,200,57.944939
-2406.602385,200,59.630942
-2733.52999,200,59.871831
-2396.892157,200,60.113282
-2388.7727,200,60.35391
-2336.150203,200,60.594933
-2569.381899,200,60.835742
-2994.564768,200,61.077081
-2513.598754,200,61.318627
-3075.064135,200,61.559746
-2379.150447,200,61.800806
-2401.706494,200,63.494274
-2540.327925,200,63.73388
-2531.775156,200,63.97532
-2577.996629,200,64.217211
-2101.539616,200,64.456958
-2763.690627,200,64.697764
-2221.700085,200,64.938905
-2697.387996,200,65.179442
-2276.395376,200,65.420506
-2103.080071,200,65.660935
-2485.654342,200,65.901833
-2636.472287,200,67.580667
-2195.219654,200,67.821676
-2414.617501,200,68.061571
-2897.261975,200,68.302332
-2592.771805,200,68.545957
-2663.251317,200,68.787517
-2306.029422,200,69.031503
-2941.957963,200,69.272491
-2527.848201,200,69.516003
-2508.42202,200,69.765702
-2091.807391,200,71.461237
-2867.867274,200,71.701522
-2469.792566,200,71.941978
-2786.279139,200,72.182412
-2270.212696,200,72.422411
-2783.543901,200,72.66208
-2546.124958,200,72.902678
-2730.067947,200,73.143661
-2659.210126,200,73.38511
-2169.708573,200,73.62903
-2312.486746,200,75.314085
-2486.552563,200,75.554643
-2456.687492,200,75.795145
-2600.449962,200,76.035595
-2432.804473,200,76.27622
-2066.329967,200,76.516574
-2533.09625,200,76.756468
-2510.882335,200,76.996818
-2754.262331,200,77.237877
-2450.385159,200,77.478604
-2591.460409,200,79.163595
-2531.03964,200,79.400704
-2614.294874,200,79.638113
-2380.420124,200,79.875115
-2613.981923,200,80.112083
-2229.813596,200,80.349837
-2289.69065,200,80.587213
-2480.155131,200,80.824115
-2491.349667,200,81.061233
-2520.04575,200,81.297849
-2497.856638,200,81.53496
-2484.216278,200,83.198119
-2569.628477,200,83.434487
-2397.719351,200,83.673602
-2503.102714,200,83.913152
-2494.550917,200,84.150017
-2258.139014,200,84.387984
-2497.681894,200,84.625463
-2731.221875,200,84.862413
-2322.468632,200,85.098922
-2722.085735,200,85.335741
-2918.088561,200,87.005101
-2769.385831,200,87.241467
-2803.154288,200,87.477757
-2274.591295,200,87.715272
-2798.357203,200,87.952326
-2672.57864,200,88.188707
-2599.901434,200,88.424305
-2753.528584,200,88.661283
-2540.893294,200,88.901826
-2631.622737,200,89.141908
-2434.725037,200,90.799741
-2643.654886,200,91.033242
-2596.283299,200,91.266058
-2840.562915,200,91.498951
-2482.660338,200,91.730994
-2489.385303,200,91.964225
-2806.706568,200,92.196858
-2440.006586,200,92.429313
-2486.37476,200,92.662062
-2449.480138,200,92.894706
-2628.370121,200,94.551674
-2155.975072,200,94.788868
-2936.805522,200,95.027109
-2833.296641,200,95.264831
-2800.375444,200,95.502486
-2621.588531,200,95.739637
-2650.745898,200,95.976717
-2518.743895,200,96.213476
-2828.126002,200,96.450717
-2587.174661,200,96.688238
-2906.179073,200,96.925639
-2421.977511,200,98.581526
-2803.899267,200,98.817817
-2425.697438,200,99.057208
-2861.989146,200,99.297644
-2744.485935,200,99.534817
-2582.611643,200,99.771993
-2781.084824,200,100.008833
-2591.774514,200,100.245992
-2726.152107,200,100.483351
-2512.547868,200,100.719924
-2690.142171,200,102.392352
-2474.365863,200,102.629482
-2843.129951,200,102.866349
-2485.943507,200,103.103152
-2471.674372,200,103.340102
-2611.107219,200,103.576694
-2742.044943,200,103.812367
-2542.825188,200,104.050827
-2682.987357,200,104.292804
-2628.568006,200,104.530038
-2777.009955,200,106.194382
-2734.140793,200,106.431374
-2609.79498,200,106.668352
-2762.571947,200,106.905277
-2648.084563,200,107.141283
-2682.947092,200,107.378376
-2963.75552,200,107.6154
-2593.080712,200,107.851842
-2678.585253,200,108.088929
-3142.6998,200,108.325309
-2827.846185,200,110.00426
-2432.312246,200,110.241071
-2486.092847,200,110.479759
-2462.093633,200,110.717899
-2544.714882,200,110.954642
-2685.542311,200,111.192111
-2595.907601,200,111.428825
-2231.701836,200,111.665612
-2545.172414,200,111.903854
-2607.715266,200,112.14035
-2816.330753,200,113.811225
-2969.834957,200,114.048788
-2884.524366,200,114.289041
-2797.376305,200,114.529733
-2808.666395,200,114.76591
-1889.681454,200,115.003901
-2630.725893,200,115.240439
-2466.040687,200,115.477955
-2857.076162,200,115.714592
-3086.318726,200,115.951428
-2982.400879,200,116.187835
-2697.353935,200,117.881207
