#{"t_start": 1611489279.211695, "env_id": "TargetReachingRRBot-v0"}
r,l,t
-2569.781319,200,1.949229
-2650.846826,200,2.191982
-2430.481946,200,2.435651
-2384.200704,200,2.67252
-2667.975196,200,2.908118
-2738.185032,200,3.14048
-2290.855601,200,3.372951
-2356.382346,200,3.605356
-2246.254299,200,3.83789
-2575.354638,200,4.070117
-2583.071804,200,5.824666
-2315.871448,200,6.062973
-2748.718141,200,6.302182
-2459.519609,200,6.539293
-2125.186041,200,6.769794
-2471.93927,200,6.998817
-2238.275886,200,7.232831
-2644.270712,200,7.463605
-2482.819863,200,7.689178
-2558.889,200,7.918056
-2070.054253,200,9.579801
-2520.499001,200,9.807914
-2238.413873,200,10.033494
-2105.715704,200,10.261888
-2463.675263,200,10.507935
-2605.401109,200,10.747558
-2347.610145,200,10.982231
-2334.058359,200,11.214766
-1842.116781,200,11.443039
-2214.927317,200,11.671968
-2467.850213,200,13.327764
-2602.895964,200,13.552491
-2491.255586,200,13.777445
-2519.756427,200,14.002887
-2430.972444,200,14.227997
-2461.374936,200,14.455163
-2667.231878,200,14.678444
-2398.59742,200,14.900573
-2372.051486,200,15.122906
-2396.316813,200,15.344901
-2533.459755,200,16.994977
-2514.083059,200,17.218008
-2214.144931,200,17.440259
-2438.345209,200,17.662435
-1867.012794,200,17.885005
-2786.012248,200,18.107604
-2617.08737,200,18.330046
-2449.558656,200,18.552561
-2629.328296,200,18.776348
-2905.351654,200,18.998598
-2491.051214,200,19.221524
-2639.220392,200,20.892589
-2568.100097,200,21.114649
-2496.105723,200,21.336542
-2393.350383,200,21.559087
-2235.549727,200,21.785976
-2418.796277,200,22.010616
-2309.243253,200,22.234689
-2630.031474,200,22.457175
-2003.309657,200,22.679283
-2727.441244,200,22.902547
-2222.58293,200,24.52941
-2446.993393,200,24.75263
-2612.178032,200,24.974652
-2690.708272,200,25.197088
-2677.337639,200,25.419377
-2534.826347,200,25.64093
-2366.782423,200,25.863753
-2505.422448,200,26.086228
-2649.635385,200,26.308647
-2313.357742,200,26.53183
-2652.792766,200,28.16861
-2752.454488,200,28.392802
-2498.251993,200,28.615907
-2588.619235,200,28.839442
-2825.616923,200,29.062922
-2597.682686,200,29.286574
-2248.231614,200,29.511087
-2365.719704,200,29.733993
-2543.480278,200,29.957179
-2364.932867,200,30.181923
-2539.820582,200,31.813912
-2539.589261,200,32.049937
-2443.926721,200,32.274718
-2565.252241,200,32.500474
-2446.957232,200,32.724744
-2415.265245,200,32.94795
-2100.582594,200,33.1719
-2144.388738,200,33.394151
-2580.296095,200,33.61679
-2629.28795,200,33.838573
-2474.821615,200,34.062846
-2462.475209,200,35.685559
-2551.278748,200,35.909719
-2821.60653,200,36.133193
-2399.412593,200,36.356063
-2478.371012,200,36.579187
-2739.745764,200,36.803072
-2688.850204,200,37.030148
-2414.338336,200,37.255667
-2361.615231,200,37.480003
-2509.85775,200,37.70302
-2545.702234,200,39.315834
-2737.618708,200,39.537906
-2423.561601,200,39.760916
-2582.037556,200,39.982491
-2648.080309,200,40.204633
-2792.013181,200,40.426592
-2445.092376,200,40.648956
-2775.127436,200,40.871419
-2501.330749,200,41.093109
-2716.611148,200,41.315062
-2340.665107,200,42.946242
-2390.288144,200,43.168786
-2716.556345,200,43.391731
-2316.883409,200,43.613446
-2282.797178,200,43.835831
-2615.60964,200,44.057376
-2680.256969,200,44.278908
-2688.635176,200,44.501061
-2007.962833,200,44.722262
-2400.006296,200,44.945766
-2630.197447,200,46.56637
-2310.34908,200,46.789399
-2411.484179,200,47.012554
-2608.90827,200,47.239993
-2780.223399,200,47.464329
-2528.981676,200,47.687976
-2635.321001,200,47.911788
-2501.377529,200,48.134434
-2596.552055,200,48.356619
-2819.33081,200,48.578816
-2712.408958,200,48.801543
-2549.713916,200,50.424716
-2480.894577,200,50.647817
-2680.382984,200,50.870247
-2577.850096,200,51.093142
-2610.340285,200,51.316268
-2738.628647,200,51.539398
-2473.215403,200,51.761131
-2509.036951,200,51.982798
-2693.895461,200,52.207639
-2487.33339,200,52.433715
-2344.804626,200,54.058827
-2765.147161,200,54.281881
-2669.911545,200,54.504373
-3096.018445,200,54.728101
-2875.775883,200,54.950893
-2428.236022,200,55.173445
-2761.304973,200,55.397395
-2655.74,200,55.620215
-1947.473114,200,55.843659
-2653.853231,200,56.066703
-2161.436134,200,57.698268
-2625.047098,200,57.922229
-2522.934308,200,58.14531
-2425.096067,200,58.369764
-2319.013829,200,58.593311
-2681.343956,200,58.81691
-2741.172779,200,59.039337
-2341.36971,200,59.263391
-2608.026254,200,59.486701
-2861.140207,200,59.708953
-2391.909522,200,61.337636
-2547.243463,200,61.560828
-2489.454897,200,61.78385
-2691.004121,200,62.006958
-2709.439858,200,62.230091
-2105.60475,200,62.456547
-2222.889256,200,62.683244
-2706.885228,200,62.907369
-2992.670297,200,63.132246
-2337.493941,200,63.355157
-2421.451315,200,63.578385
-2629.576499,200,65.230292
-2937.261007,200,65.457787
-2268.30168,200,65.684739
-2598.549189,200,65.911429
-2621.258908,200,66.138923
-2429.267763,200,66.365669
-2366.542389,200,66.59285
-2624.909985,200,66.819648
-2717.866577,200,67.045863
-2532.659399,200,67.272182
-2569.929548,200,68.939649
-2778.391513,200,69.170392
-2746.117936,200,69.400435
-1913.442896,200,69.631028
-2452.105003,200,69.860877
-2644.986131,200,70.090951
-2453.756581,200,70.322284
-2915.735388,200,70.552466
-2787.356636,200,70.78304
-2582.036036,200,71.013613
-2104.868452,200,72.684904
-2822.48294,200,72.91876
-2770.577547,200,73.150974
-2108.73443,200,73.382367
-2793.938281,200,73.612153
-2210.939464,200,73.842428
-2544.437848,200,74.072437
-2363.711221,200,74.302625
-2888.30156,200,74.534105
-1700.43582,200,74.764505
-2815.461181,200,76.436653
-2752.408651,200,76.666581
-2655.12067,200,76.897615
-2701.530801,200,77.127651
-2861.673246,200,77.357274
-2128.717943,200,77.588102
-2532.30685,200,77.821275
-2665.599402,200,78.053989
-2425.687999,200,78.285761
-2508.303256,200,78.51586
-2406.777146,200,78.745864
