#{"t_start": 1611316485.3930101, "env_id": "TargetReachingRRBot-v0"}
r,l,t
-1854.752678,200,1.932345
-2704.444704,200,2.170842
-2608.250026,200,2.40993
-2612.289181,200,2.645202
-2510.290827,200,2.882827
-2735.833467,200,3.116532
-2193.685009,200,3.35016
-2075.787889,200,3.583811
-2567.373789,200,3.81724
-2608.130701,200,4.054747
-2505.333411,200,5.753746
-2376.607907,200,5.979916
-2688.697723,200,6.205527
-2267.108989,200,6.432838
-2049.612707,200,6.662895
-2650.273907,200,6.89431
-2549.404887,200,7.135524
-2437.364955,200,7.373785
-2776.176983,200,7.610482
-2712.920154,200,7.847512
-2454.265927,200,9.501147
-2663.173324,200,9.724457
-2316.743271,200,9.947914
-2122.830264,200,10.17249
-2439.758613,200,10.395446
-2470.394552,200,10.618801
-2565.053272,200,10.841568
-2434.04059,200,11.064865
-2412.593459,200,11.287564
-2721.24746,200,11.510743
-2490.960073,200,13.181659
-2608.536178,200,13.405438
-2117.808147,200,13.627849
-2127.482375,200,13.850701
-2335.400227,200,14.073619
-2406.868734,200,14.295823
-2615.888839,200,14.518657
-2389.891012,200,14.742702
-2598.742787,200,14.965632
-2216.023108,200,15.189
-2794.945949,200,16.843848
-2545.823191,200,17.067075
-2291.376032,200,17.291777
-2595.264337,200,17.520197
-2088.288585,200,17.743977
-2682.152407,200,17.967925
-2443.418903,200,18.191505
-1980.886012,200,18.41467
-2563.496728,200,18.637577
-2491.372362,200,18.861009
-2669.137188,200,19.084019
-2567.802204,200,20.735428
-2454.713241,200,20.958619
-2498.517796,200,21.182285
-2541.413117,200,21.405548
-2031.850804,200,21.62889
-2352.41086,200,21.852634
-1754.800649,200,22.075851
-2336.208167,200,22.29914
-2274.168467,200,22.527969
-2164.673996,200,22.752827
-2594.214884,200,24.37672
-2401.36687,200,24.601029
-1844.138797,200,24.825672
-2615.75749,200,25.050171
-2251.686829,200,25.273576
-2695.809965,200,25.497851
-2324.444916,200,25.722013
-2360.175154,200,25.94576
-2349.653517,200,26.169876
-2684.629714,200,26.39339
-2474.25053,200,28.034164
-2826.112196,200,28.257674
-2891.124971,200,28.482237
-2731.147683,200,28.705518
-2627.381468,200,28.928902
-2501.133347,200,29.153918
-2396.074522,200,29.378042
-2526.518414,200,29.601892
-2542.615547,200,29.826561
-2445.252605,200,30.050619
-2483.660466,200,31.690902
-2466.017032,200,31.915048
-2591.625585,200,32.139931
-2479.483849,200,32.36387
-2405.750402,200,32.589369
-2541.198613,200,32.819357
-2357.820183,200,33.044752
-2379.694483,200,33.270997
-2390.344881,200,33.495285
-2236.012951,200,33.71947
-2490.726575,200,33.9442
-2059.586749,200,35.571507
-2599.859524,200,35.79576
-2618.939267,200,36.019523
-2492.425839,200,36.243782
-2406.07231,200,36.467111
-2413.657917,200,36.690333
-2642.490611,200,36.914206
-2572.361548,200,37.137667
-2448.080635,200,37.360955
-2703.594752,200,37.584386
-2467.225148,200,39.216101
-2779.835602,200,39.439629
-2407.082525,200,39.663355
-2566.465212,200,39.887294
-2393.603095,200,40.112977
-2778.869761,200,40.336968
-2790.080246,200,40.561025
-2392.683679,200,40.785612
-2461.949048,200,41.009695
-2620.148403,200,41.233084
-2374.188919,200,42.867624
-2319.623768,200,43.095688
-2443.063268,200,43.321607
-2305.986917,200,43.546788
-2451.345113,200,43.770901
-2607.94772,200,43.995534
-2817.68474,200,44.219459
-2799.680204,200,44.444077
-2610.6079,200,44.668324
-2203.955557,200,44.891974
-2554.923795,200,46.515003
-2450.919772,200,46.738853
-2362.063426,200,46.962808
-2636.920339,200,47.186893
-2347.088582,200,47.410576
-2351.791755,200,47.634763
-2565.770084,200,47.85915
-1559.207106,200,48.089043
-2413.278473,200,48.315882
-2429.148109,200,48.542171
-2632.745557,200,48.767154
-2311.78088,200,50.41248
-2583.094787,200,50.635894
-2579.225769,200,50.858935
-2526.15363,200,51.082212
-2756.967928,200,51.305863
-2482.582555,200,51.528696
-2791.724146,200,51.751575
-2453.35594,200,51.975184
-2694.437442,200,52.19886
-2369.574806,200,52.422629
-2368.976677,200,54.096666
-2494.410648,200,54.32843
-2646.749931,200,54.559695
-2573.258211,200,54.791285
-2593.559623,200,55.022882
-2817.916647,200,55.254113
-2633.706683,200,55.485835
-2572.819659,200,55.717259
-2742.567573,200,55.948344
-2384.191695,200,56.18032
-2593.683687,200,57.857052
-2915.37407,200,58.08922
-2690.146599,200,58.325117
-2409.804757,200,58.556922
-2579.694355,200,58.790049
-2486.479487,200,59.021565
-2748.339267,200,59.253033
-2818.360981,200,59.484391
-2703.678366,200,59.715742
-2559.19623,200,59.946922
-2834.918132,200,61.62114
-2521.761747,200,61.85246
-2770.281775,200,62.083663
-2368.399303,200,62.314744
-2656.125936,200,62.545431
-2416.035979,200,62.77636
-2360.443303,200,63.007617
-2721.856432,200,63.241153
-2702.934137,200,63.475306
-2687.346031,200,63.707043
-2850.35468,200,63.940038
-2698.713505,200,65.624384
-2624.574721,200,65.854845
-2651.711688,200,66.085216
-2796.989458,200,66.316304
-2578.093418,200,66.547016
-2575.493808,200,66.777981
-2731.398447,200,67.009484
-2841.342913,200,67.240567
-2885.269645,200,67.471707
-2924.113428,200,67.702995
-2784.78213,200,69.374562
-2513.183184,200,69.597885
-2744.750179,200,69.826055
-2457.876765,200,70.050028
-2322.98554,200,70.273371
-1969.724341,200,70.497178
-2708.912912,200,70.721248
-2490.937879,200,70.944765
-2778.002489,200,71.168921
-590.780464,200,71.393352
-2344.587644,200,73.053929
-2989.917865,200,73.277538
