#{"t_start": 1611419883.639787, "env_id": "TargetReachingRRBot-v0"}
r,l,t
-2078.317821,200,1.916643
-2638.803948,200,2.163419
-2425.202987,200,2.409378
-2451.04227,200,2.647101
-2797.278599,200,2.88538
-2900.134964,200,3.121551
-2146.615282,200,3.357374
-2187.927769,200,3.592899
-2693.820056,200,3.828777
-2203.066672,200,4.069709
-2257.444134,200,5.795031
-2627.090195,200,6.032152
-2774.045588,200,6.268756
-2528.305628,200,6.505088
-2224.620193,200,6.741023
-2556.430179,200,6.97696
-2458.294502,200,7.212752
-2585.716757,200,7.448844
-2671.537716,200,7.68405
-2723.451012,200,7.919564
-2647.186086,200,9.61317
-2601.492557,200,9.840986
-2737.280098,200,10.0686
-2539.022325,200,10.29759
-2804.232553,200,10.525962
-2497.528518,200,10.754133
-2426.334831,200,10.982477
-2664.029761,200,11.219511
-2352.971046,200,11.460733
-2440.628719,200,11.69581
-2577.66847,200,13.416054
-2739.939059,200,13.662637
-3065.736736,200,13.91767
-2390.969315,200,14.166111
-2250.89121,200,14.410409
-1795.859602,200,14.644946
-2571.280135,200,14.880297
-2602.139904,200,15.1146
-2668.676902,200,15.342567
-2508.451025,200,15.570846
-2844.621136,200,17.217012
-2765.391626,200,17.444946
-2598.505781,200,17.671397
-2720.026781,200,17.899168
-2263.880438,200,18.126147
1124.137447,200,18.353075
-2980.36063,200,18.580258
-2317.495376,200,18.808155
-2665.217617,200,19.036175
-1552.12946,200,19.264054
-2881.561531,200,19.494301
-2394.345243,200,21.201139
-2524.113242,200,21.429463
-2542.118489,200,21.657382
-2421.258259,200,21.894342
-2764.425034,200,22.131982
-2722.620772,200,22.369042
-2587.982806,200,22.604458
-2771.655288,200,22.837804
-2607.742418,200,23.081995
-2914.316631,200,23.318123
-2436.271779,200,24.975337
-2832.980295,200,25.203606
-2378.431078,200,25.432283
-2888.20192,200,25.660475
-2593.386383,200,25.892155
-2745.577059,200,26.125688
-2954.633028,200,26.357777
-2635.768816,200,26.587232
-2412.039189,200,26.817027
-2451.857821,200,27.046161
-2357.311275,200,28.679755
-2553.035122,200,28.907993
-2338.748449,200,29.137306
-2620.077744,200,29.365918
-2446.192761,200,29.59438
-2696.005265,200,29.823052
-2674.890545,200,30.05136
-2877.001153,200,30.279619
-2779.492086,200,30.508368
-2423.176764,200,30.741762
-2804.910829,200,32.439016
-2563.419746,200,32.671188
-2503.392957,200,32.903997
-2360.663929,200,33.139962
-2334.868262,200,33.377041
-2508.488379,200,33.611756
-2453.180598,200,33.853066
-2595.800984,200,34.094443
-2640.318784,200,34.335418
-2788.888293,200,34.57252
-2590.236569,200,34.805664
-2248.036839,200,36.447582
-2401.6501,200,36.675942
-2530.487811,200,36.903783
-2671.567876,200,37.131027
-2517.286022,200,37.358779
-2501.220617,200,37.586591
-2592.834804,200,37.814274
-2531.513774,200,38.041583
-2524.511598,200,38.268971
-2602.075373,200,38.49626
-2577.329457,200,40.112597
-2903.309923,200,40.340599
-2857.265101,200,40.568949
-2610.429182,200,40.796723
-2569.866613,200,41.025737
-2652.996283,200,41.256669
-2565.944495,200,41.486422
-2509.667069,200,41.71459
-2510.559241,200,41.942809
-2539.180954,200,42.170578
-2891.170376,200,43.79641
-2538.219003,200,44.02509
-2804.924612,200,44.253319
-2730.110658,200,44.485276
-2498.790597,200,44.715914
-2587.360647,200,44.943387
-2262.354143,200,45.170468
-3041.955402,200,45.398563
-2576.288956,200,45.630114
-1955.05535,200,45.863473
-2730.504578,200,47.509887
-2541.632803,200,47.745456
-2828.438433,200,47.981888
-2829.17115,200,48.217862
-2550.990551,200,48.453896
-2802.104115,200,48.689363
-2611.619803,200,48.924583
-2787.812354,200,49.160373
-2553.312046,200,49.396125
-2705.035025,200,49.631666
-2424.950949,200,49.86794
-2854.916269,200,51.535719
-2503.247336,200,51.772815
-2620.870139,200,52.017427
-2750.562604,200,52.272213
-2694.497054,200,52.515467
-2807.66261,200,52.753023
-2745.123461,200,52.983655
-2868.634856,200,53.211488
-2151.959424,200,53.441184
-2638.684253,200,53.670454
-2519.307787,200,55.393019
-2761.065745,200,55.621095
-2640.270322,200,55.848772
-2950.040503,200,56.076074
-2615.928907,200,56.302879
-2455.766341,200,56.534245
-2686.736853,200,56.764298
-2510.225916,200,56.994032
-2322.854278,200,57.22132
-2674.164087,200,57.449196
-2338.981711,200,59.109603
-2779.112685,200,59.345701
-2909.518183,200,59.582575
-2747.871141,200,59.82035
-2695.757645,200,60.074533
-2566.857264,200,60.319509
-2771.619698,200,60.565133
-2820.124362,200,60.805114
-2768.186952,200,61.042686
-2347.134989,200,61.278645
-2906.063563,200,62.989916
-2720.758142,200,63.228092
-2665.936206,200,63.47014
-3007.803147,200,63.708786
-2447.607999,200,63.946525
-2723.337442,200,64.184694
-1485.170205,200,64.418406
-2460.482053,200,64.647955
-2521.492714,200,64.875332
-2840.148109,200,65.103353
-2726.100959,200,65.330605
-2474.71939,200,66.98732
-3200.920193,200,67.216711
-2555.389742,200,67.446739
-57.580212,200,67.67749
-2656.650786,200,67.908248
-3049.033936,200,68.135919
-2725.603916,200,68.36382
-2863.90985,200,68.590801
-2729.951233,200,68.818155
-2534.337226,200,69.04612
-2657.893943,200,70.692492
-1677.7179,200,70.919939
-2380.631493,200,71.148077
-2409.487576,200,71.376345
-2892.904734,200,71.605292
-2951.196615,200,71.835521
-3008.754928,200,72.066505
-2675.399242,200,72.294275
-2678.776511,200,72.521868
-2372.968166,200,72.750054
-2572.696315,200,74.377419
-2734.611126,200,74.605365
-2598.861822,200,74.832634
-1189.865449,200,75.06059
-2823.462858,200,75.288959
-2171.460278,200,75.516901
-2463.155156,200,75.744728
-1331.956421,200,75.972552
-2868.814112,200,76.201405
-2786.222243,200,76.429798
-2862.354847,200,78.079474
-2792.555508,200,78.306591
-2588.365541,200,78.534286
-2780.432501,200,78.762603
-2843.622174,200,78.989977
-2765.016207,200,79.217988
-2601.662209,200,79.446112
-2334.46122,200,79.673481
-2670.643111,200,79.901104
-2764.415178,200,80.129061
-2870.572072,200,80.356822
1521.292561,200,81.993043
-2685.320798,200,82.224715
-2811.147446,200,82.454491
-2500.555357,200,82.684389
-2856.921879,200,82.913728
-1460.704736,200,83.143041
-2687.918375,200,83.372336
-2659.225512,200,83.601917
-2830.509054,200,83.831022
-2972.315174,200,84.060138
-2677.430756,200,85.724311
-2712.201665,200,85.953766
-2759.05544,200,86.183572
-2837.15455,200,86.41227
-2843.759588,200,86.642305
-2651.702297,200,86.871093
-2720.635749,200,87.101889
-3050.435152,200,87.334469
-2764.479022,200,87.564516
-2661.267271,200,87.793565
-2739.175451,200,89.448784
-2475.017275,200,89.684901
-2955.740386,200,89.921102
-2021.968794,200,90.160256
-2323.636571,200,90.40103
-1645.273333,200,90.640521
-1089.887248,200,90.881167
-2414.596018,200,91.121026
-2646.582813,200,91.357248
-2926.210447,200,91.598101
-2921.971255,200,93.266512
-2689.345769,200,93.496287
-2792.381921,200,93.725182
-2716.401515,200,93.954436
3285.911314,200,94.186008
-3189.416655,200,94.418221
-2256.17147,200,94.651906
-2364.661052,200,94.881397
-2811.678487,200,95.111629
-1897.241169,200,95.339624
-2435.27999,200,95.569139
-2921.213872,200,97.264228
-2924.511538,200,97.499404
-629.544134,200,97.729755
491.347208,200,97.960681
-2954.509583,200,98.190065
-1859.93486,200,98.41902
-2747.253417,200,98.648242
-2766.606915,200,98.87702
-2990.28265,200,99.105734
-2742.394198,200,99.334814
-2864.624152,200,101.033323
-2627.058361,200,101.264873
-2778.227953,200,101.494629
-2469.92283,200,101.724371
-2876.822191,200,101.953859
-3002.853997,200,102.182278
-2825.836548,200,102.413792
-2792.783463,200,102.646121
-1164.078009,200,102.875254
-2787.52555,200,103.106175
-2966.985969,200,104.751239
-2805.010897,200,104.980777
-2684.777509,200,105.210467
-2591.321398,200,105.440468
-2892.012419,200,105.672021
-2989.693719,200,105.901436
-2984.502546,200,106.131983
-801.995895,200,106.361596
-990.649031,200,106.591207
-2742.665839,200,106.820232
-2883.331971,200,108.470804
-2864.530127,200,108.699379
-2758.931677,200,108.928477
-1774.822175,200,109.158271
-2512.650934,200,109.385478
-2826.855068,200,109.61514
-2628.739033,200,109.843039
-2936.918025,200,110.072866
-1276.699137,200,110.30133
-2092.256988,200,110.529585
-2552.18907,200,112.166387
-2867.500355,200,112.393863
-2735.950415,200,112.626936
-2815.437963,200,112.858322
-2784.219392,200,113.089316
-2944.068915,200,113.318956
-1431.861865,200,113.547723
-3024.118207,200,113.776205
196.295117,200,114.004729
-2423.388578,200,114.233607
-2788.290145,200,114.463701
-2783.816348,200,116.118089
2739.349387,200,116.34566
-2713.303249,200,116.574951
-2591.381892,200,116.802398
-2775.820196,200,117.030194
-2442.096779,200,117.257922
-2084.339067,200,117.488086
-2065.855703,200,117.718277
-2674.9506,200,117.949569
3516.035194,200,118.177728
-2987.484585,200,119.875342
-2860.979101,200,120.109008
792.905395,200,120.343817
-250.19658,200,120.57778
-3061.524449,200,120.819336
-1673.88988,200,121.055778
-2976.874377,200,121.28857
-3098.436458,200,121.531782
-2630.344247,200,121.774412
-1551.105734,200,122.01834
-2535.283311,200,123.699629
-2264.330377,200,123.927581
-2978.645379,200,124.155039
-2728.663084,200,124.382678
-2744.668486,200,124.610747
-1363.103419,200,124.84124
-3026.129217,200,125.069748
-2875.005321,200,125.297236
-2675.704379,200,125.525244
-2771.029216,200,125.753909
-2900.717653,200,127.376845
-2502.307052,200,127.604138
-3073.155342,200,127.831594
-1798.634109,200,128.063694
-1576.271757,200,128.295187
-2911.91259,200,128.525287
-2557.610062,200,128.754349
-1046.729024,200,128.98194
-2645.436152,200,129.209623
-675.027776,200,129.436774
-1987.721246,200,129.664151
-2814.20278,200,131.332491
-2334.436685,200,131.566486
-1813.960956,200,131.798886
-2837.884517,200,132.032079
-3108.429315,200,132.26472
-2620.625599,200,132.496969
-2806.173611,200,132.730766
-2488.108558,200,132.963734
-2901.445148,200,133.199728
-2434.708987,200,133.433426
-2842.611008,200,135.085038
-2767.222585,200,135.321147
-2932.374781,200,135.557668
-2420.466821,200,135.793745
-2692.003418,200,136.029502
-2558.7734,200,136.265828
-2765.61241,200,136.501236
-2880.70567,200,136.736994
-2839.366804,200,136.973779
-2527.101544,200,137.209072
-1208.084659,200,138.874982
-2896.606711,200,139.102738
-2376.451303,200,139.330999
3603.534429,200,139.558026
-1485.128799,200,139.785896
-2684.826505,200,140.013537
-2525.752999,200,140.241132
-661.047442,200,140.468581
-2908.588812,200,140.696581
-2915.945056,200,140.924033
-2758.205931,200,142.571923
-2597.03144,200,142.799351
-1751.903017,200,143.027445
765.972634,200,143.25983
-2489.523901,200,143.492121
-2321.648145,200,143.720458
-2553.801557,200,143.947908
-1629.101152,200,144.175744
-2794.723294,200,144.403871
-2989.727515,200,144.633065
-2885.242809,200,144.861139
-2803.830745,200,146.497797
-2751.319796,200,146.72693
-1637.796999,200,146.955079
-2815.129145,200,147.18265
-147.890685,200,147.409602
-1030.627089,200,147.636618
-2042.845039,200,147.864114
260.755252,200,148.09233
-2727.48469,200,148.321692
-2662.149968,200,148.55185
-2902.967112,200,150.192544
-2625.069763,200,150.420791
-2647.441371,200,150.648345
-2955.756221,200,150.876147
331.479582,200,151.104113
-2572.006793,200,151.332337
-2653.579337,200,151.559571
-2449.192932,200,151.787256
-2862.990672,200,152.01493
-2745.385444,200,152.242701
-2767.64601,200,153.882432
-2409.969882,200,154.114475
-2855.323148,200,154.342219
-1809.505685,200,154.570209
-2634.750365,200,154.798528
185.415692,200,155.027166
-2722.413973,200,155.255077
-2454.492039,200,155.486969
-2769.730946,200,155.717396
2600.70576,200,155.945486
-2766.857148,200,157.642218
-1267.463027,200,157.877863
-2917.797992,200,158.110795
-2613.665075,200,158.346642
-1243.124858,200,158.585347
6391.431178,200,158.826375
-2855.840944,200,159.060708
1928.620711,200,159.294462
-2682.868119,200,159.528282
-2515.339947,200,159.76205
-1241.983908,200,159.995053
-175.992085,200,161.73541
-2831.50909,200,161.969387
423.14048,200,162.202436
-1761.665404,200,162.435815
-2764.853211,200,162.675256
-1736.052248,200,162.909259
-2339.572283,200,163.143048
-2740.548332,200,163.395423
-2713.982288,200,163.643557
-2720.450759,200,163.886466
-2307.895659,200,165.605363
-2748.007597,200,165.838613
-2010.997911,200,166.07194
-1364.750141,200,166.305857
-2561.656077,200,166.539203
-2411.736388,200,166.775027
-2550.321761,200,167.007966
-2777.330312,200,167.241392
418.170407,200,167.474949
-2965.850013,200,167.708866
-2638.394602,200,169.458102
-2641.713021,200,169.693338
-2316.070847,200,169.923522
-2746.88293,200,170.163986
-2344.262123,200,170.418124
-932.764023,200,170.65987
-29.683806,200,170.891396
-2785.356016,200,171.121894
-1673.267365,200,171.352496
-2940.00812,200,171.582164
-2894.978837,200,173.217394
-2856.049112,200,173.446397
-2670.102869,200,173.675689
-2885.588089,200,173.907663
-2351.417923,200,174.140826
-2623.433412,200,174.371077
-2742.994522,200,174.600283
-2434.781548,200,174.829646
-2730.2445,200,175.058515
521.379778,200,175.287427
-300.646527,200,175.51822
-2616.080321,200,177.158195
-9.758464,200,177.386922
-2914.927238,200,177.616205
377.212329,200,177.845195
-2806.81196,200,178.074692
2977.361702,200,178.304755
-2367.450524,200,178.533824
-2522.846181,200,178.763817
-596.206621,200,178.99603
-2547.829603,200,179.22932
-2468.138448,200,180.893498
-2744.897308,200,181.126249
1391.908815,200,181.35987
-2744.202292,200,181.592981
-2829.77438,200,181.826545
-2841.879418,200,182.05949
-2716.823499,200,182.293661
-2711.599798,200,182.527872
-2138.83967,200,182.761221
-2688.865541,200,182.994579
-2834.626016,200,184.679642
-2857.693569,200,184.911917
-2571.42345,200,185.145114
-2338.756772,200,185.37826
-483.871463,200,185.610851
-2566.82693,200,185.843664
-2674.412932,200,186.076469
-2016.154263,200,186.309269
-2416.583671,200,186.542764
77.301698,200,186.775172
-2736.84853,200,188.442319
-2890.325746,200,188.675776
4755.070836,200,188.908592
402.089489,200,189.143891
-2778.40732,200,189.381143
-2493.609964,200,189.614434
-1865.030566,200,189.847733
-987.265405,200,190.081795
-2543.87698,200,190.315222
-2643.648384,200,190.548476
-2693.722733,200,190.782396
-2679.984578,200,192.4656
-728.746566,200,192.698188
-2474.481994,200,192.930546
-642.317764,200,193.162786
390.746705,200,193.395784
-2792.15698,200,193.62911
-2573.026762,200,193.862053
-759.709298,200,194.095369
7698.736353,200,194.329776
3449.763972,200,194.566222
3807.626471,200,196.262522
-2719.320061,200,196.499116
-2682.467301,200,196.735652
-2494.155824,200,196.971035
-2634.74027,200,197.208779
4545.189347,200,197.444478
-2780.642649,200,197.68085
-2603.168166,200,197.917567
-1561.808436,200,198.153918
-2517.655652,200,198.391068
-295.281689,200,200.101006
-2344.217262,200,200.336813
-2251.544005,200,200.572444
2957.947247,200,200.807819
-2492.230797,200,201.043315
-2409.073943,200,201.279564
-2508.168584,200,201.515659
-2903.857157,200,201.75174
-2476.242353,200,201.987074
-2818.446426,200,202.223167
-2478.462247,200,203.912334
