#{"t_start": 1612008347.368796, "env_id": "TargetReachingRRBot-v0"}
r,l,t
-1267.804963,200,1.905732
-1418.35669,200,2.165295
-1421.575006,200,2.434464
-1400.928448,200,2.69483
3856.995607,200,2.955009
-1429.669151,200,3.217221
-873.047606,200,3.478635
-1411.187888,200,3.736542
-1015.301098,200,3.993392
-1455.608452,200,4.249928
-1318.165703,200,6.002741
-1434.983882,200,6.262746
449.997472,200,6.524023
-1248.346928,200,6.78731
-1347.267982,200,7.048554
-1417.040315,200,7.310339
-1442.710991,200,7.573384
-1432.58102,200,7.833881
-1380.935462,200,8.094172
-1297.552758,200,8.361102
-1408.582668,200,10.046766
-1372.276295,200,10.299134
-1402.875285,200,10.554212
-1345.627942,200,10.807974
-1324.002398,200,11.062147
-1416.581949,200,11.313643
-1416.677299,200,11.572021
-1494.804469,200,11.830224
-1353.586332,200,12.082312
-1395.495222,200,12.335387
-1388.542803,200,14.006401
-1391.606703,200,14.27184
-1371.383342,200,14.535687
-1336.451627,200,14.799523
-436.961667,200,15.056186
-1402.691495,200,15.304924
-673.232101,200,15.557122
-1414.321125,200,15.807001
-1420.281478,200,16.056553
-1325.418263,200,16.307464
-1348.943546,200,17.962122
-1376.197387,200,18.214822
-1318.889301,200,18.471301
-1340.494651,200,18.729502
-1425.175134,200,18.984728
-1381.143303,200,19.236833
-1440.099902,200,19.484978
-1270.583342,200,19.734469
-1382.342282,200,19.983593
1261.008376,200,20.231763
-200.222652,200,20.425312
-202.867754,200,20.612629
-201.137031,200,20.799666
-201.016687,200,20.985792
-200.169435,200,21.172178
-284.725494,200,21.429353
-1278.628381,200,23.082625
-1364.752396,200,23.336879
-1344.991424,200,23.596756
2518.18409,200,23.854042
-1358.096131,200,24.109762
-1370.997704,200,24.362523
-1410.909845,200,24.61637
-1422.324416,200,24.869654
-1351.664906,200,25.123734
-1387.944248,200,25.377156
-1348.691401,200,27.054195
-1390.616237,200,27.310445
-1343.998566,200,27.567483
-1474.718881,200,27.823545
-1327.926826,200,28.080808
-1383.992201,200,28.349381
-1394.924156,200,28.609921
-1426.779363,200,28.872635
-1468.610327,200,29.130881
-1388.851351,200,29.388791
-1390.634853,200,31.060241
-1429.334954,200,31.316897
-1347.791133,200,31.574049
-1342.643658,200,31.830607
-1351.489296,200,32.087547
-1423.868022,200,32.344488
-1441.563145,200,32.601907
-1360.135484,200,32.860288
-1297.745409,200,33.117783
-1393.546393,200,33.374897
-299.651917,200,35.077429
-1308.720036,200,35.335912
-1388.335557,200,35.594823
-1328.091,200,35.861899
681.328967,200,36.119622
