#{"t_start": 1612011765.8390744, "env_id": "TargetReachingRRBot-v0"}
r,l,t
-1274.690383,200,1.933134
-1383.581389,200,2.201253
-1420.434425,200,2.466033
-1311.670287,200,2.724149
-1486.614788,200,2.983428
-1371.802293,200,3.240333
-1265.129123,200,3.498099
-1342.087233,200,3.755222
10632.848209,200,4.012979
-1322.550703,200,4.270583
-1422.021707,200,5.993251
-1420.101894,200,6.247497
-1452.014239,200,6.501456
-1308.506886,200,6.749908
-1484.592771,200,7.004576
-1354.158437,200,7.256495
-1521.579361,200,7.518841
-985.484637,200,7.778984
-1404.808715,200,8.036509
-1391.241216,200,8.29242
-1425.270752,200,9.989299
-1416.451206,200,10.251131
-1401.669389,200,10.512534
-1289.0566,200,10.771349
-1367.897643,200,11.030826
-1448.542335,200,11.292532
-1339.718965,200,11.554548
-1449.1346,200,11.813359
-1420.459547,200,12.071006
-1487.864993,200,12.328736
-1426.584928,200,13.999773
-1366.776114,200,14.255759
-1365.823293,200,14.514257
-1301.905184,200,14.768797
-1425.12532,200,15.029378
-1309.934243,200,15.285631
-1301.59624,200,15.541619
-1374.40915,200,15.793621
-1387.122478,200,16.046586
-1395.542481,200,16.29926
-1407.265972,200,17.972172
-1346.658498,200,18.231355
-1387.910441,200,18.488627
-1448.455519,200,18.745811
-1323.019178,200,19.002755
-1402.836186,200,19.259597
-1255.986684,200,19.517469
-1437.250664,200,19.774322
-1458.092715,200,20.037321
-1430.948232,200,20.296309
-205.612301,200,20.497375
-200.308486,200,20.690455
-201.365786,200,20.882675
-213.064416,200,21.075949
-204.968812,200,21.269879
-1409.528364,200,21.53617
-1392.444228,200,23.221335
-1397.997187,200,23.478846
-1242.63034,200,23.734772
-1440.771009,200,23.994088
-1398.557103,200,24.251019
-1372.480938,200,24.507266
-1284.834258,200,24.763642
-1375.928809,200,25.023735
-1354.120934,200,25.290033
-1308.229107,200,25.551318
-1441.906484,200,27.211207
-1381.145628,200,27.466765
-1287.663613,200,27.723885
-1431.740912,200,27.979483
-1284.110178,200,28.235118
-1455.756187,200,28.490618
-1451.907585,200,28.747402
-1372.72928,200,29.004836
-1373.03445,200,29.262274
-1454.40721,200,29.520356
-1410.869257,200,31.187503
-1378.573018,200,31.442339
-1363.313218,200,31.696003
-1318.246489,200,31.95257
-1414.948687,200,32.207234
-1415.579755,200,32.46246
6900.013317,200,32.716478
-1356.214805,200,32.969911
-1410.068474,200,33.225638
-1389.03247,200,33.479755
-1357.606403,200,35.155833
-1441.996283,200,35.417364
3631.301085,200,35.676238
-1385.672684,200,35.929971
-1345.130552,200,36.184519
-1386.14035,200,36.438853
-1474.085763,200,36.692192
-1340.932707,200,36.945041
-1468.478969,200,37.198441
-1301.650695,200,37.453402
-1410.34079,200,37.70642
-1422.890279,200,39.38203
-1377.276828,200,39.637409
-1441.962533,200,39.891788
-1368.529018,200,40.149924
-1453.317493,200,40.408847
-1408.098236,200,40.66939
-1395.71804,200,40.927654
-1456.963618,200,41.184881
-242.634955,200,41.385153
-201.340362,200,41.575428
-207.690565,200,41.766003
-203.402728,200,41.956939
-245.152354,200,42.148591
-1323.818468,200,42.407796
-1412.105176,200,42.663904
1207.010294,200,44.341288
-1265.615975,200,44.596918
-1463.127363,200,44.853046
-1472.464211,200,45.111031
1966.873013,200,45.367261
-1428.732629,200,45.630203
-1382.174528,200,45.890501
-1328.08331,200,46.147086
-1432.456063,200,46.404807
-1347.505654,200,46.659868
-1321.007803,200,48.324488
-1340.224189,200,48.574015
-1390.929907,200,48.825684
-1385.01392,200,49.075208
-1406.093503,200,49.326146
-1503.200564,200,49.576244
-1398.801019,200,49.825289
-1482.33308,200,50.074123
-1355.336467,200,50.324034
-1460.673575,200,50.574453
-1384.191834,200,52.242234
-1350.025566,200,52.49462
-1388.516987,200,52.745518
-1427.72829,200,52.997678
-1466.336867,200,53.248954
-1362.103255,200,53.50063
-1420.477236,200,53.751167
-1396.36742,200,54.003789
-1389.745701,200,54.25489
-1058.495631,200,54.521402
-1399.942846,200,54.794123
-1359.506075,200,56.493835
-1366.669343,200,56.752729
-1404.3703,200,57.0128
-1495.479371,200,57.272311
-1414.572372,200,57.532962
-1428.861503,200,57.800133
-1337.609491,200,58.080374
-1360.647969,200,58.361246
-1398.268929,200,58.641508
-1329.7372,200,58.922066
-1418.437126,200,60.622635
-1407.786255,200,60.886052
-1380.942031,200,61.151349
-1433.739695,200,61.413263
-1364.479567,200,61.673516
-1446.295924,200,61.93381
-1418.834583,200,62.213096
3016.939999,200,62.432222
-225.391763,200,62.645685
-223.15227,200,62.855847
-211.148427,200,63.066681
-200.2356,200,63.277086
12164.270131,200,63.565413
-1425.065971,200,63.846159
-1400.614293,200,64.126195
-1404.816116,200,65.850883
-1381.884009,200,66.10798
-1316.543168,200,66.364874
-1408.46106,200,66.616409
2779.863614,200,66.867059
-1325.661098,200,67.117492
-1431.841654,200,67.380243
-1361.895006,200,67.651528
-1433.375028,200,67.92305
-1379.837921,200,68.194562
-1302.715531,200,69.906931
-1455.133052,200,70.165252
-1455.492054,200,70.4254
-1350.352443,200,70.685106
-1426.194141,200,70.945934
-1445.135949,200,71.211537
-1407.644651,200,71.486835
-1417.931662,200,71.768494
-1428.814246,200,72.049347
-1405.012315,200,72.32965
-1488.831923,200,72.611358
14334.678906,200,74.270909
-1394.807855,200,74.52378
-1439.413716,200,74.776122
-1381.607188,200,75.031398
8849.113282,200,75.285959
-1372.680662,200,75.548665
-1404.689791,200,75.821623
-1311.920217,200,76.095679
-1429.681776,200,76.375775
-1387.670645,200,76.65226
-1393.964723,200,78.4026
-1382.61347,200,78.663517
-1360.610605,200,78.923707
-1425.50245,200,79.186967
-1473.339194,200,79.450861
-1481.151456,200,79.714402
-1391.852569,200,79.994872
-1475.662981,200,80.276482
-1396.89561,200,80.558195
-1436.517404,200,80.839128
-1473.537722,200,82.559059
-1296.951198,200,82.819751
-1413.866298,200,83.08144
203.49364,200,83.347059
-1437.018662,200,83.609511
-1353.229476,200,83.874537
-218.827383,200,84.096
-223.021392,200,84.306095
-221.986868,200,84.516774
-203.323213,200,84.727278
-224.122039,200,84.937524
-1457.72841,200,85.221355
-1412.651221,200,85.503419
-1474.701682,200,85.783984
-1445.636714,200,86.065041
-1424.475999,200,87.763035
3617.919729,200,88.019914
10658.580903,200,88.277076
-1448.872236,200,88.537901
-1419.327185,200,88.798397
-1468.255286,200,89.057375
-1403.515928,200,89.334558
-1290.070271,200,89.61499
-1382.60143,200,89.892579
-1511.473819,200,90.170265
-1423.886984,200,90.447422
-1432.145688,200,92.163171
-1347.258628,200,92.415378
3743.185416,200,92.668169
-1368.429238,200,92.921801
1504.443323,200,93.177154
10153.064695,200,93.440602
-1450.252309,200,93.713259
-1389.423303,200,93.985164
-1431.236582,200,94.257081
-1430.384941,200,94.529053
-1476.019318,200,96.229562
-1414.912583,200,96.480705
-1397.705539,200,96.738611
-1468.99158,200,96.997411
-1338.251732,200,97.253105
-1296.957281,200,97.513791
-1361.694492,200,97.786122
-1377.099032,200,98.058944
-1390.258559,200,98.331926
-1388.398766,200,98.604106
1083.382983,200,100.296139
-1469.29261,200,100.55333
-1374.985439,200,100.814113
-1381.425778,200,101.074079
-1440.237184,200,101.333854
-1394.286232,200,101.596678
-1379.163754,200,101.880601
-1431.578044,200,102.163062
-1393.489479,200,102.441595
-1401.088134,200,102.718549
-1443.620054,200,104.424547
-1378.095858,200,104.681512
-1469.733294,200,104.937208
1540.875438,200,105.198552
-1370.793327,200,105.458097
-217.36801,200,105.660679
-202.754587,200,105.863321
-222.509991,200,106.07199
-204.790015,200,106.280268
-216.059938,200,106.491405
-1413.672919,200,106.771779
-1329.987288,200,107.058802
3229.916343,200,107.338788
-1376.491922,200,107.61709
-1458.672403,200,107.894916
-1432.91129,200,108.17221
-42.074508,200,109.846148
-1414.426184,200,110.098055
-1471.393382,200,110.35371
-1332.626513,200,110.609268
-1413.466862,200,110.863883
-1434.777295,200,111.128922
-1416.339095,200,111.402023
-1440.964015,200,111.67487
-1415.742535,200,111.949025
-1398.36718,200,112.230633
-1224.035464,200,113.938352
-1391.888597,200,114.195922
867.310613,200,114.45603
-1435.762228,200,114.716632
-1389.252385,200,114.977773
-1456.685942,200,115.242991
-1412.026466,200,115.521921
-1442.757474,200,115.799906
-1365.227874,200,116.078394
-1417.27366,200,116.356778
-1440.593517,200,118.068744
281.349006,200,118.326924
-1433.582639,200,118.585549
-1373.981255,200,118.846177
-1429.094261,200,119.105084
-1431.141366,200,119.373674
-1496.477703,200,119.652955
-1351.254199,200,119.93304
-1423.949273,200,120.212957
-1401.927041,200,120.491934
-1355.026993,200,122.198662
-1406.852738,200,122.526778
-1361.28154,200,122.789073
-1370.51023,200,123.049814
-1422.316799,200,123.310277
-1417.416331,200,123.579828
-1453.014025,200,123.858308
-1474.047754,200,124.142224
-1404.349937,200,124.421106
-1366.172955,200,124.699208
-1354.488417,200,126.390312
-1478.09905,200,126.642261
-1392.339425,200,126.897549
-1407.064345,200,127.153261
-211.55706,200,127.356375
12722.470848,200,127.55362
-233.39399,200,127.750987
-264.294399,200,127.957946
-282.374408,200,128.164577
-1396.526804,200,128.446692
-1090.596282,200,128.720367
-1437.095578,200,128.995414
-1492.371449,200,129.268821
-1446.137001,200,129.543051
-1404.276591,200,129.816421
-1426.005485,200,130.098768
-1484.246662,200,131.860362
-1317.578638,200,132.121863
-1477.108114,200,132.384833
-1400.292841,200,132.654749
-1438.836327,200,132.922529
-1279.684172,200,133.199265
3418.550901,200,133.483095
-1398.520401,200,133.773576
-1440.218912,200,134.064605
-1428.581724,200,134.353708
-1455.002757,200,136.052664
-1417.115067,200,136.306216
-1363.22123,200,136.561956
-1355.876515,200,136.81546
-1575.472872,200,137.065119
-1379.834961,200,137.323977
-1375.99868,200,137.600388
-1366.499494,200,137.881414
-1431.313511,200,138.155005
-1337.861584,200,138.428303
-1414.034378,200,140.09807
-1445.352844,200,140.34636
-628.442369,200,140.596073
-1456.544834,200,140.845479
-1435.397636,200,141.095318
8893.388417,200,141.361307
-1480.182787,200,141.634724
-1422.757401,200,141.907679
-1371.810031,200,142.180342
-1490.13243,200,142.453779
-1421.334439,200,144.185403
-1507.969057,200,144.441759
-1415.523611,200,144.700051
-1336.603393,200,144.958833
-1398.883397,200,145.217341
-1441.232602,200,145.482266
-1407.065375,200,145.764831
-1397.413716,200,146.046445
-1465.389649,200,146.328573
-1389.055848,200,146.610396
-1360.981893,200,146.891748
-1435.955394,200,148.595391
-1424.450337,200,148.853424
-251.992344,200,149.054327
-225.2352,200,149.247818
-235.893766,200,149.442726
-211.098351,200,149.644843
-273.217648,200,149.857687
-1382.944004,200,150.141833
-1330.904744,200,150.424314
-1411.960433,200,150.706893
-1423.997135,200,150.989414
10707.94034,200,151.272045
-1365.714439,200,151.553853
-1421.569301,200,151.835492
-1417.933104,200,152.116632
-1492.747816,200,153.837776
-1466.010228,200,154.09532
5281.00865,200,154.354475
-1353.858765,200,154.612463
1231.799897,200,154.87066
-1418.393154,200,155.150427
-1316.736097,200,155.43278
-1396.231409,200,155.713963
-1414.860231,200,155.99687
-1415.826053,200,156.279112
-1359.350053,200,157.974064
-1341.344142,200,158.233111
-869.165265,200,158.485333
-1423.595683,200,158.736961
-1486.986203,200,158.987308
-1450.714863,200,159.251762
-1378.043351,200,159.525469
-1355.617638,200,159.799125
-1359.255035,200,160.072398
-1367.919835,200,160.345803
3407.542247,200,162.006598
-1435.457651,200,162.255543
-1446.777232,200,162.505962
-1404.515015,200,162.755645
340.179508,200,163.005171
-1393.744621,200,163.275942
-1459.868018,200,163.552968
1696.927139,200,163.826894
-1486.808527,200,164.100672
-1422.87719,200,164.373682
272.214007,200,164.647123
-1380.016395,200,166.297415
-1357.672705,200,166.54946
7692.642495,200,166.800872
-1411.856533,200,167.050642
-1457.389819,200,167.309258
3410.10742,200,167.583986
-1426.536224,200,167.857931
-1340.086254,200,168.131844
-1397.163011,200,168.413065
-1385.023745,200,168.690672
-1470.5445,200,170.354244
-273.082668,200,170.549155
-281.691539,200,170.735251
-229.996188,200,170.921967
-206.007162,200,171.112226
-283.191898,200,171.298688
-1374.267927,200,171.571754
-1463.138291,200,171.844635
-1425.958419,200,172.117387
-1427.217022,200,172.389706
-1504.260579,200,172.662227
-1397.757658,200,172.935328
-1380.316157,200,173.208002
-1427.684529,200,173.496558
-1401.212424,200,173.774859
-1375.9978,200,175.43412
-1423.344655,200,175.682202
-1368.999557,200,175.932921
-1376.610981,200,176.181635
-1374.079377,200,176.431262
-1376.746443,200,176.697835
-1463.775191,200,176.970586
-1436.097217,200,177.243886
-1441.18603,200,177.516698
-1394.179925,200,177.788784
-1430.343438,200,179.462181
-1438.25932,200,179.710136
-1437.644508,200,179.958554
-1413.587013,200,180.208124
-1394.025824,200,180.457726
7109.284462,200,180.720861
-1297.653585,200,180.994058
-1405.061069,200,181.266382
-1356.676687,200,181.538
-403.409504,200,181.810869
-1409.609051,200,182.083194
-1204.694507,200,183.73927
-1433.607315,200,183.991373
-1423.006949,200,184.2429
-1506.369382,200,184.492064
-1493.156371,200,184.746665
-1390.104793,200,185.019166
-1342.127589,200,185.291876
-1409.374108,200,185.563948
-1441.270134,200,185.835897
-1313.166563,200,186.110865
-1403.06466,200,187.751527
-1299.372803,200,188.001645
-1411.749063,200,188.252516
-1359.92493,200,188.503852
-1441.560458,200,188.761507
-1347.970761,200,189.038798
-1404.894177,200,189.315268
-1359.135567,200,189.589199
-1495.700109,200,189.862623
-1356.520296,200,190.142345
-262.514466,200,190.356281
-303.41211,200,190.570219
-264.868157,200,190.775913
-279.173427,200,190.983349
-248.443514,200,191.188813
-1398.336819,200,192.839966
-1348.80708,200,193.089378
-1436.478483,200,193.339912
5242.957517,200,193.589469
-1420.681477,200,193.845533
-1326.879059,200,194.119711
-1464.18189,200,194.39462
-1440.056334,200,194.668952
-1479.582808,200,194.941854
-1442.23883,200,195.215108
-1455.633938,200,196.878098
-1366.350674,200,197.129698
-1430.473534,200,197.379327
-1460.609644,200,197.629052
-1406.298476,200,197.878639
-1349.473576,200,198.145573
-1434.053051,200,198.417898
-1460.35905,200,198.690104
-1350.2071,200,198.966244
-1337.288265,200,199.248101
-1338.137312,200,199.521135
-1373.525919,200,201.164102
-1429.659497,200,201.413152
-1362.3691,200,201.66256
-1394.927325,200,201.910978
-1425.11159,200,202.171976
-1426.204847,200,202.446271
-1395.622274,200,202.718994
-1429.620674,200,202.991384
-1358.432363,200,203.26582
-1398.128357,200,203.538328
-601.665414,200,205.188903
-1384.351984,200,205.437987
-1455.369868,200,205.686368
-1357.594027,200,205.935796
-1372.832225,200,206.192507
-1445.081206,200,206.465786
-1422.182801,200,206.739103
-1395.172054,200,207.010784
-1484.116956,200,207.283294
-1443.596256,200,207.555134
-1378.161089,200,209.208086
-1436.783998,200,209.462366
-1472.176904,200,209.712599
-1447.388533,200,209.962355
-1428.365498,200,210.214055
-1320.778033,200,210.486383
-1465.797923,200,210.75865
-1418.621302,200,211.031726
-1431.913073,200,211.304328
-256.315911,200,211.51702
-258.624429,200,211.722325
-503.682156,200,211.927318
-308.07451,200,212.132186
-207.594615,200,212.336854
-1441.086859,200,212.611412
-1486.825203,200,214.263368
-1476.293059,200,214.519877
-1446.39327,200,214.769451
-1456.530412,200,215.020254
-1467.6773,200,215.269137
-1483.394411,200,215.538476
892.36783,200,215.811552
-1422.160485,200,216.084412
-1382.584121,200,216.358008
-1439.106748,200,216.6301
-1407.402972,200,216.902508
-1444.584965,200,218.53951
-1334.016034,200,218.794695
-1441.660334,200,219.049432
-1364.977914,200,219.304189
-1448.220463,200,219.580706
-1385.829826,200,219.860449
-1339.760884,200,220.140341
-1385.750898,200,220.418812
-1352.207925,200,220.696358
-1411.947805,200,220.975462
-1518.628197,200,222.616733
-1461.623075,200,222.86705
-1335.868063,200,223.116543
