#{"t_start": 1612059137.3305604, "env_id": "TargetReachingRRBot-v0"}
r,l,t
-1663.606517,200,1.92276
-1818.973052,200,2.186695
-1985.148878,200,2.447658
-1898.403746,200,2.707288
-2058.329777,200,2.966898
-1661.092164,200,3.226368
-2018.694105,200,3.486351
-2090.611423,200,3.74483
-1772.276453,200,4.004213
-1789.903389,200,4.264259
-1420.082982,200,6.047245
-1638.842628,200,6.313436
-1724.841878,200,6.575989
-2209.270985,200,6.836138
-1667.490262,200,7.095035
-1875.997953,200,7.354109
-1604.936538,200,7.613138
-1911.606078,200,7.872357
-1835.939417,200,8.132543
-1750.740859,200,8.39229
-1759.329346,200,10.174982
-1855.393113,200,10.435856
-1758.891822,200,10.698171
-2210.974346,200,10.958053
-1784.121454,200,11.217969
-1975.308307,200,11.484509
-190.098744,200,11.747876
-1764.146169,200,12.011012
-2038.505471,200,12.271528
-2090.738208,200,12.531284
-2030.25005,200,14.310955
-1663.528068,200,14.570729
-1816.497386,200,14.829451
-1915.406581,200,15.089433
-1803.105792,200,15.349101
-2132.109336,200,15.607606
-1825.97227,200,15.865609
-1709.694851,200,16.123426
-1759.100332,200,16.383013
-1539.881813,200,16.653058
-1714.436085,200,18.406034
-1254.133756,200,18.661402
-1792.989956,200,18.916252
-1807.02574,200,19.170633
-1818.050304,200,19.424366
-1621.445053,200,19.680423
-1885.689885,200,19.935247
-1768.495874,200,20.191098
-1947.513201,200,20.447552
-2000.919829,200,20.703881
-203.490126,200,20.901437
-200.812844,200,21.092144
-200.182198,200,21.282523
-202.040512,200,21.472608
-201.859265,200,21.669765
-1902.166553,200,21.940456
-1772.090999,200,23.665522
-1792.911025,200,23.92056
-1740.833952,200,24.177476
-1941.599101,200,24.434468
-1940.049431,200,24.690285
-1848.747528,200,24.946527
-2035.796695,200,25.204184
-2089.445354,200,25.460627
-1729.431556,200,25.71665
1903.21857,200,25.974642
-1956.418082,200,27.676871
-2051.953307,200,27.927585
-1735.173627,200,28.178966
-1816.739236,200,28.429829
-1897.807728,200,28.680704
-2005.467983,200,28.93202
-1628.722494,200,29.185011
-1810.437262,200,29.437563
-1669.61816,200,29.689943
-1772.589675,200,29.941719
-1859.055363,200,31.63444
-1677.08315,200,31.897464
-1952.193826,200,32.157813
-1861.823127,200,32.414857
-1860.056139,200,32.671654
-1843.428881,200,32.92691
-1812.461994,200,33.183031
-2092.061424,200,33.439109
-1739.563604,200,33.695758
-1931.621907,200,33.953564
-1870.275189,200,35.678775
-2074.895324,200,35.936339
-1635.499787,200,36.196403
-1793.352646,200,36.455919
-1652.321783,200,36.715504
-2025.794419,200,36.982179
-2069.2781,200,37.246259
-1813.878457,200,37.508993
-1759.23305,200,37.76896
-1779.385987,200,38.028351
-1739.280362,200,38.287488
-1900.687428,200,40.01185
-2182.80047,200,40.271279
-1448.276997,200,40.532831
-1851.993829,200,40.792397
-1934.932477,200,41.051929
-1613.19926,200,41.312522
-1777.83638,200,41.572121
-2098.55207,200,41.831858
-206.455222,200,42.038906
-201.924922,200,42.237093
-201.044848,200,42.439475
-200.892814,200,42.635203
-202.645412,200,42.830283
-1804.866869,200,43.097592
-1947.086036,200,43.3593
-1545.340547,200,45.10203
-2043.695193,200,45.361497
966.443339,200,45.620722
-2061.101565,200,45.881382
-1814.015694,200,46.140831
-2177.380075,200,46.407878
2732.658409,200,46.691595
-1770.740385,200,46.974472
-1624.663335,200,47.264682
-2040.076172,200,47.551001
-1614.190048,200,49.341681
1083.410399,200,49.600974
-2010.885088,200,49.860562
-1928.289629,200,50.12102
-1736.998095,200,50.380574
-1595.660017,200,50.641109
-2188.995656,200,50.922389
-1956.611732,200,51.206843
-1851.419212,200,51.490832
-1746.471263,200,51.773954
-1968.828316,200,53.542783
-1677.607707,200,53.798034
-1589.121344,200,54.057278
-1882.558479,200,54.313618
-1897.847685,200,54.570871
-2285.901586,200,54.828264
-1872.438584,200,55.106147
-1767.820472,200,55.385852
-684.320683,200,55.666176
-1931.067666,200,55.945781
-1654.963946,200,56.225825
-2140.183874,200,57.96754
-1841.091704,200,58.223949
-1817.296446,200,58.479916
-2026.727767,200,58.737264
-1978.691741,200,58.994198
-1774.37584,200,59.268101
-1803.385756,200,59.549021
-1981.485161,200,59.830096
-1746.498373,200,60.110442
-1848.55466,200,60.390363
-2116.370608,200,62.119457
-1980.673248,200,62.376696
-2124.814916,200,62.64346
-2341.418836,200,62.901852
-1956.708204,200,63.160658
-1979.694605,200,63.428515
-1974.47784,200,63.710114
-208.444857,200,63.927951
-201.212876,200,64.138648
-232.969993,200,64.348279
-203.378459,200,64.558684
-201.948998,200,64.767703
-2185.70979,200,65.055462
-1705.81768,200,65.334873
-2122.737672,200,65.614067
-1748.376329,200,67.360624
-1453.923564,200,67.623645
-1615.698307,200,67.883604
-1910.650619,200,68.142046
-2201.317355,200,68.399774
-1993.719592,200,68.660169
-1879.784717,200,68.939921
-1884.21382,200,69.220315
-2374.312153,200,69.500346
-1941.117981,200,69.780859
-2129.936027,200,71.509526
-2074.296315,200,71.759897
-1771.200777,200,72.01013
-1926.391343,200,72.262881
-1608.763772,200,72.515239
-1822.300964,200,72.776883
-1708.400488,200,73.056998
-2271.420952,200,73.331983
-1735.872386,200,73.605927
-1687.659658,200,73.87999
-1910.04294,200,74.153838
-1694.683656,200,75.845766
-1711.093249,200,76.09742
-1770.898112,200,76.349016
-1697.957919,200,76.602291
-1852.258927,200,76.853161
-1974.849605,200,77.123904
-1517.683411,200,77.397557
-1989.496493,200,77.67136
-1987.716315,200,77.953187
-1902.91842,200,78.230277
-1885.738457,200,79.9262
-1852.315081,200,80.176997
1577.145416,200,80.42908
-2072.168786,200,80.681993
-1681.782224,200,80.933824
-1940.246887,200,81.201614
-2066.024805,200,81.476646
-1909.091578,200,81.751613
-1796.965398,200,82.025929
-2098.880365,200,82.3
-2063.31401,200,84.044541
-1926.822379,200,84.300204
-1667.231731,200,84.556396
-1896.460542,200,84.813984
-2126.621149,200,85.070703
-1745.583477,200,85.338447
-205.843083,200,85.560195
-209.450944,200,85.770097
-222.231021,200,85.979128
-207.625066,200,86.188693
-200.617153,200,86.398785
-1558.617849,200,86.688607
-1767.006058,200,86.968293
-1811.260882,200,87.248355
-2028.863097,200,87.528671
-2013.842427,200,89.27426
-1855.961554,200,89.530362
-1855.151253,200,89.788321
-1942.586813,200,90.045276
-1944.49669,200,90.302671
-1634.746653,200,90.566635
-1826.177388,200,90.847454
-2033.081499,200,91.127879
-2002.908532,200,91.407677
-1786.254507,200,91.688055
-1828.165907,200,91.968383
-1665.77744,200,93.701433
-1798.863302,200,93.954882
-2042.143313,200,94.20664
11822.464336,200,94.459474
-1509.348888,200,94.715466
-2067.787681,200,94.989992
-1700.15741,200,95.265839
-1903.918318,200,95.540809
-1771.470707,200,95.815506
-1521.060676,200,96.093266
-1930.841536,200,97.828956
-2067.013679,200,98.081124
-1923.519274,200,98.340183
-2151.740648,200,98.597519
-1765.071877,200,98.853118
-1807.08296,200,99.12071
-1694.204169,200,99.396711
-1775.382213,200,99.672622
-1880.155635,200,99.947866
-2079.231677,200,100.222779
121.609961,200,101.932948
3120.478715,200,102.184577
-1779.957902,200,102.435736
-2037.394706,200,102.688464
-1877.449578,200,102.940686
-1689.704621,200,103.204625
-1912.067114,200,103.487561
-1856.232687,200,103.766886
-2150.637148,200,104.043296
-620.431431,200,104.318577
-1638.058969,200,106.04704
-1697.428469,200,106.298854
-1872.798627,200,106.55199
-1839.321729,200,106.803364
-1705.414513,200,107.056392
-205.718707,200,107.25352
-208.320657,200,107.461402
-227.075537,200,107.668048
-200.877328,200,107.882121
-234.916471,200,108.08886
-1801.55905,200,108.372452
-1644.894826,200,108.659628
-1858.983029,200,108.93718
-1707.691501,200,109.215107
-2013.403855,200,109.490726
-1845.782908,200,109.767314
3393.766839,200,111.438951
-2257.371579,200,111.689788
-1592.703261,200,111.941128
-1703.219289,200,112.193212
-2123.263206,200,112.445354
-2092.804459,200,112.718041
-1906.836688,200,112.993272
-2046.110503,200,113.26788
-1675.108,200,113.543163
-1893.678834,200,113.832618
-2001.582762,200,115.550553
-2082.811584,200,115.801042
-2107.329624,200,116.052561
-2046.165396,200,116.30328
2546.00464,200,116.555022
-1808.78157,200,116.82079
-2030.137172,200,117.094875
-2088.035532,200,117.370284
-1863.855731,200,117.645258
4053.977425,200,117.919497
-1723.846226,200,119.655205
-1771.354341,200,119.906297
-1767.276867,200,120.157658
-1953.999188,200,120.408823
-2111.747762,200,120.660705
-1723.988037,200,120.924651
-2200.913695,200,121.198706
-1744.136471,200,121.473259
-2197.035902,200,121.747557
-1492.760613,200,122.02304
-1807.351277,200,123.702153
-1802.094136,200,123.961621
-1849.952196,200,124.214761
-1928.237077,200,124.467582
-1634.712534,200,124.721088
-1797.979146,200,124.984287
-1620.228719,200,125.260142
-1868.702067,200,125.534358
-2142.504678,200,125.808816
-1788.119884,200,126.0834
-1983.191948,200,127.767616
-2063.789824,200,128.019574
-1705.425737,200,128.270196
-2057.901735,200,128.520808
-209.174607,200,128.71735
-208.316442,200,128.910198
-203.05823,200,129.120668
-223.396612,200,129.327763
-213.144165,200,129.535143
-1636.884521,200,129.817436
-1951.880894,200,130.09102
-1860.672231,200,130.365881
-1714.283137,200,130.641708
6665.897141,200,130.915641
-1923.566922,200,131.190149
-2053.874841,200,131.463918
-1735.620595,200,133.174501
-1963.04451,200,133.424032
3947.722808,200,133.673505
-2055.834289,200,133.923263
-1806.280226,200,134.183219
-2100.154227,200,134.455612
-1883.228088,200,134.731697
-2054.289768,200,135.005665
-1733.650134,200,135.280536
-1643.840084,200,135.557095
-1831.880641,200,137.259625
-1812.074304,200,137.509465
-1580.194722,200,137.760826
-1734.288706,200,138.011568
-1683.45787,200,138.266468
-1899.055127,200,138.532661
-1606.634334,200,138.808026
-1983.198758,200,139.083455
-1680.684877,200,139.368357
-1675.603928,200,139.64579
2203.412326,200,141.324403
-1649.465001,200,141.576104
-1637.508455,200,141.826778
