#{"t_start": 1611463141.1695108, "env_id": "TargetReachingUR5-v0"}
r,l,t
-7097.863494,200,2.151828
-7903.754936,200,2.625169
-7662.220802,200,3.089673
-8178.118914,200,3.555498
-7061.461732,200,4.020567
-7915.979179,200,4.484752
-7406.129647,200,4.949085
-7610.926467,200,5.409998
-7526.745616,200,5.872915
-7649.883869,200,6.334339
-7856.659691,200,8.251762
-7595.964259,200,8.71082
-4250.119104,200,9.172009
-7892.938375,200,9.636904
-7190.124416,200,10.102112
-7469.113912,200,10.563108
-7967.517432,200,11.027859
-7607.906686,200,11.498598
-7766.354205,200,11.97586
-7503.533,200,12.449085
-6636.730069,200,14.363682
-7376.393162,200,14.827305
-7938.059904,200,15.293209
-8131.618111,200,15.757906
-7401.79829,200,16.237414
-7569.454904,200,16.718881
-7747.205864,200,17.191036
-7519.912312,200,17.654209
-7451.986018,200,18.116662
-7505.57367,200,18.579067
-7956.453132,200,20.531661
-7602.850381,200,20.997626
-7260.712061,200,21.462634
-7390.482826,200,21.928936
-7627.137082,200,22.393695
-7901.189008,200,22.858978
-7351.623129,200,23.327236
-7718.042121,200,23.795276
-7652.353739,200,24.262188
-7392.700651,200,24.728161
-7774.174706,200,26.677359
-7495.11271,200,27.136983
-7591.246674,200,27.596059
-7842.321191,200,28.052177
-7963.367402,200,28.509754
-7401.777754,200,28.966414
-7391.282202,200,29.421458
-7510.999867,200,29.875808
-7520.347381,200,30.329607
-7722.967826,200,30.786143
-7476.063165,200,31.243089
-5052.21881,200,33.143659
-2667.757492,200,33.599242
-7792.864822,200,34.056322
-6463.849009,200,34.512816
-7719.767878,200,34.967944
-7954.798778,200,35.421875
-5417.951502,200,35.876158
-7798.765697,200,36.332963
-7496.917897,200,36.787832
-7362.271705,200,37.246131
-7538.610831,200,39.137913
-8191.85183,200,39.591294
-7710.668726,200,40.044514
-7664.26581,200,40.493846
-7811.156986,200,40.946772
3598.647552,200,41.395526
-7575.767198,200,41.845183
-7395.656894,200,42.298282
-7810.79025,200,42.749979
-8036.11424,200,43.213308
-7963.413343,200,45.08797
-7770.195644,200,45.539048
-7385.995408,200,45.989221
-8125.504507,200,46.441787
-7247.975847,200,46.89461
-8194.739044,200,47.346228
-7897.956244,200,47.804775
-8121.474844,200,48.254447
-7699.278984,200,48.706255
-7807.134812,200,49.15492
-7663.758018,200,51.040447
-6911.804518,200,51.499277
-7482.908136,200,51.95667
-7799.800959,200,52.41206
-7817.051344,200,52.874014
-7776.771456,200,53.332857
-7663.307019,200,53.794845
