#{"t_start": 1611477991.9471595, "env_id": "TargetReachingUR5-v0"}
r,l,t
-3917.238343,200,2.139756
-3813.037676,200,2.601997
-4018.823423,200,3.061304
-3852.985172,200,3.516923
-3555.367696,200,3.978304
-3902.828545,200,4.442352
-3882.254239,200,4.905574
-3759.688627,200,5.362784
-3842.103445,200,5.821623
-3678.589948,200,6.288644
-3608.926344,200,8.28972
-4231.166385,200,8.749564
-3901.11415,200,9.20897
-3706.771158,200,9.665042
-3799.146576,200,10.121759
-3434.095481,200,10.576235
-3900.633701,200,11.036293
-3816.010396,200,11.492838
-3724.968558,200,11.942018
-4008.815142,200,12.395321
-3967.012485,200,14.280455
-3900.313454,200,14.731976
-4156.781384,200,15.183566
-3747.900747,200,15.634387
-3983.342061,200,16.0845
-3678.676917,200,16.534775
-2881.154911,200,16.985119
-4030.791971,200,17.434023
-3627.784039,200,17.882523
-3873.454434,200,18.333096
-3765.052598,200,20.212075
-3776.905028,200,20.665879
-1538.829424,200,21.116245
-3797.992885,200,21.562587
-3839.349974,200,22.014354
90.987741,200,22.462214
-3721.771015,200,22.911787
-3339.569534,200,23.360411
-2535.404345,200,23.809597
-4066.746604,200,24.260316
-3652.497787,200,26.117987
-4090.863797,200,26.568698
-4222.322584,200,27.019797
-3999.868353,200,27.48739
-3830.53229,200,27.937873
-4111.45502,200,28.394583
-3924.643281,200,28.844642
-3596.069145,200,29.302942
-4144.116252,200,29.763476
-3570.111244,200,30.223852
-3770.254578,200,30.679047
-3942.225803,200,32.555917
-3798.172322,200,33.010683
-3732.272205,200,33.466323
-3926.108953,200,33.922847
-4060.545485,200,34.376665
-3769.6599,200,34.83626
-1692.984458,200,35.291211
-4100.148043,200,35.746156
-2539.068206,200,36.203006
-3628.593579,200,36.658989
-4207.356655,200,38.534051
-4109.258782,200,38.992079
-4320.021157,200,39.44863
-3960.086988,200,39.905453
-3767.44433,200,40.360856
-3901.908318,200,40.815057
-3930.883364,200,41.269024
1636.925696,200,41.725094
-3896.346444,200,42.181786
-3722.593443,200,42.641411
-4019.116609,200,44.5472
-3617.882644,200,45.005788
-4329.584812,200,45.46898
-2089.897354,200,45.926728
-3779.085515,200,46.387904
-3718.94133,200,46.847976
-4099.719678,200,47.309218
-3977.438063,200,47.767225
-4091.897015,200,48.229408
-3890.418341,200,48.688118
-3990.771711,200,50.586157
-3723.95793,200,51.037774
-3970.209389,200,51.490304
-3841.845644,200,51.939362
-3889.901481,200,52.386382
-3588.335744,200,52.835757
-3767.341731,200,53.286469
-3874.333442,200,53.735622
-3987.632041,200,54.186286
-3959.773262,200,54.638845
-3150.111996,200,55.089972
-3709.894015,200,56.930944
-3609.507306,200,57.385023
-3787.886027,200,57.835208
-4004.990332,200,58.287737
-3424.731299,200,58.739394
-3936.969298,200,59.189928
-3299.072826,200,59.64246
-3563.990511,200,60.0986
-3663.039425,200,60.551692
-3486.029568,200,61.005665
-3458.131771,200,62.847828
-3693.956308,200,63.299761
-3802.579228,200,63.752663
-3885.674008,200,64.20551
-4004.73379,200,64.659465
-4075.098117,200,65.116515
-3712.132547,200,65.567695
-3412.931584,200,66.02045
-3590.915286,200,66.474604
-3816.432559,200,66.934176
-3819.270309,200,68.776798
-3502.105397,200,69.227102
-3925.677856,200,69.678227
-3825.721361,200,70.131463
-3655.36077,200,70.58116
-2238.809568,200,71.030774
-4059.791682,200,71.481447
-3389.377952,200,71.93092
-3920.460082,200,72.382369
-4133.203452,200,72.834525
-3156.592503,200,74.684028
-4053.159619,200,75.142617
