#{"t_start": 1611473472.8680007, "env_id": "TargetReachingUR5-v0"}
r,l,t
-97.824988,200,2.147065
-739.964272,200,2.625467
-733.600336,200,3.092292
13567.545017,200,3.556669
827.414464,200,4.022021
-746.151409,200,4.493146
12.36726,200,4.964637
-727.134161,200,5.428477
11397.004624,200,5.89227
-726.568249,200,6.357474
4754.326301,200,8.30123
-739.690107,200,8.769608
-713.502017,200,9.237478
-732.972012,200,9.712667
-721.915546,200,10.185729
-411.79278,200,10.667957
-605.135166,200,11.151279
-712.095692,200,11.624211
-745.083744,200,12.090797
4045.538261,200,12.558326
-734.691473,200,14.450098
402.787356,200,14.915663
-727.307291,200,15.38027
-734.327445,200,15.839561
-732.466071,200,16.29591
2999.617088,200,16.754359
8278.173565,200,17.213285
95.312966,200,17.670032
-728.719048,200,18.127868
1222.595924,200,18.586668
401.516273,200,20.466128
-721.62926,200,20.925795
16264.910468,200,21.383687
-711.285303,200,21.840995
-719.205705,200,22.299425
-730.589003,200,22.759073
2795.404348,200,23.217921
-705.801625,200,23.676959
-730.477274,200,24.13653
-723.876148,200,24.596085
-732.451757,200,26.474712
-727.152924,200,26.932569
-718.542206,200,27.391164
-723.848582,200,27.850109
-722.662915,200,28.307422
5995.492306,200,28.764169
-724.522278,200,29.226388
-731.870023,200,29.68598
-610.633824,200,30.1444
-709.446135,200,30.602031
7966.938601,200,31.058243
-722.533339,200,32.926106
-733.201122,200,33.376693
-748.128866,200,33.824941
-735.239168,200,34.27319
-734.332918,200,34.721564
-733.618351,200,35.17196
-723.86003,200,35.623803
-719.934177,200,36.073332
-741.930101,200,36.524434
2997.298925,200,36.974531
4868.951259,200,38.806369
-741.384318,200,39.256146
-731.841793,200,39.704568
-730.65631,200,40.155323
-734.33082,200,40.607538
506.31262,200,41.056091
-737.050962,200,41.505507
1967.491847,200,41.956007
-733.842708,200,42.406183
11191.523192,200,42.854384
-734.487222,200,44.691193
-732.357951,200,45.143358
-721.533469,200,45.595689
-719.025556,200,46.045626
14610.153126,200,46.494827
-720.683193,200,46.947169
-727.107023,200,47.401603
-722.487529,200,47.853372
-724.690009,200,48.305791
-737.749956,200,48.759428
2064.782162,200,50.603548
313.672486,200,51.054569
-729.936942,200,51.505618
-729.912259,200,51.957164
-610.257323,200,52.406701
2675.976087,200,52.857793
-727.051947,200,53.309007
-738.392261,200,53.758581
-742.409861,200,54.210051
-723.474577,200,54.659604
-731.961623,200,55.111435
-726.030312,200,56.95054
-110.595941,200,57.403269
-733.037685,200,57.853163
-728.52713,200,58.303265
-747.634196,200,58.755839
-720.770014,200,59.208662
-728.633526,200,59.66036
-741.990092,200,60.110812
-717.292374,200,60.560974
-722.440721,200,61.010613
-728.573383,200,62.84421
7674.536014,200,63.295827
10566.265619,200,63.746482
-729.591548,200,64.20014
-736.572647,200,64.650312
-711.8916,200,65.104847
-726.039104,200,65.558157
-724.510668,200,66.009578
-728.564284,200,66.462281
-719.689858,200,66.913569
-730.950453,200,68.768234
-722.339028,200,69.227364
-730.578186,200,69.686096
-731.60444,200,70.143294
4154.394065,200,70.599214
10571.178797,200,71.0574
-734.66427,200,71.514521
11291.777825,200,71.973155
-716.180686,200,72.431421
8185.540201,200,72.889053
-742.709709,200,74.778248
-722.085796,200,75.236925
-739.916257,200,75.695741
1866.472739,200,76.152355
-504.442265,200,76.612505
-702.235965,200,77.073127
-730.328659,200,77.531813
-704.920082,200,77.991881
13672.180148,200,78.450292
408.224089,200,78.908699
-717.034652,200,79.367356
-737.58203,200,81.249485
1123.731234,200,81.707663
-729.471294,200,82.167076
8083.590819,200,82.627926
-720.01217,200,83.089763
7133.810277,200,83.545376
-637.663103,200,84.001198
-749.749169,200,84.458605
-735.894469,200,84.919585
-735.814489,200,85.379412
-721.19225,200,87.251455
-746.105641,200,87.707708
-731.255756,200,88.162501
-731.741228,200,88.618884
-717.254598,200,89.074647
-742.294727,200,89.527813
-720.124882,200,89.98382
2593.437156,200,90.443719
-730.100302,200,90.9014
5799.76093,200,91.354876
-742.575606,200,93.218458
-725.496601,200,93.674341
-739.198488,200,94.1287
-711.241941,200,94.587282
927.58328,200,95.041486
8395.765114,200,95.495185
-728.546688,200,95.952395
-750.796241,200,96.408583
2874.522874,200,96.864354
-712.485435,200,97.319109
-745.307582,200,99.183749
-702.42858,200,99.640842
1247.923938,200,100.096297
-748.238371,200,100.553643
6121.847961,200,101.007289
5577.229213,200,101.46563
-719.438764,200,101.922833
102.011543,200,102.377914
-703.350114,200,102.835183
-747.062606,200,103.292902
-724.913768,200,103.750381
4969.816892,200,105.610252
2456.529584,200,106.062805
15851.037439,200,106.515531
-721.111241,200,106.966322
-732.261314,200,107.420385
-721.953867,200,107.873422
-713.87285,200,108.324633
-735.2223,200,108.775256
16366.986383,200,109.224081
-719.15006,200,109.674013
-730.238336,200,111.525751
-727.461916,200,111.97471
-731.995593,200,112.426397
10144.117878,200,112.878274
-716.113802,200,113.328171
10779.861436,200,113.778132
-728.941975,200,114.225737
5601.994716,200,114.676394
-731.891005,200,115.127774
-725.787979,200,115.579419
-729.668129,200,117.416529
-728.905407,200,117.867936
2372.247398,200,118.317862
-724.562886,200,118.769747
19378.858135,200,119.217427
5293.005879,200,119.668006
-724.69318,200,120.119074
-717.328183,200,120.569243
-734.199847,200,121.019414
11298.300733,200,121.469701
-730.228898,200,123.311261
-727.4747,200,123.76192
16677.595118,200,124.211639
-743.234207,200,124.661968
4982.723238,200,125.113256
-732.898558,200,125.562978
-705.262104,200,126.012758
13673.700608,200,126.463956
5073.199396,200,126.912732
-742.8585,200,127.362298
-711.351297,200,127.813937
15645.280407,200,129.660061
-714.906145,200,130.112502
-732.880316,200,130.565689
-721.681442,200,131.015319
-719.383948,200,131.466538
-736.719138,200,131.91711
7155.74955,200,132.367863
-746.00343,200,132.820051
-732.807625,200,133.271732
-735.084375,200,133.724206
-434.128642,200,135.561594
-723.269161,200,136.013996
-730.542537,200,136.466014
-735.497525,200,136.916853
17408.697815,200,137.365009
-735.957673,200,137.818519
-725.030941,200,138.268813
1043.960393,200,138.721398
10044.151934,200,139.173887
-725.518315,200,139.625064
614.892414,200,141.49389
-719.153481,200,141.95091
3926.235987,200,142.406178
-728.519561,200,142.86416
-729.112202,200,143.320383
-756.220564,200,143.77709
108.395047,200,144.232949
-727.39177,200,144.689665
-735.804934,200,145.145624
5786.440742,200,145.602474
-742.671259,200,147.467539
13364.889854,200,147.924808
-737.058628,200,148.382423
-705.614159,200,148.838485
-727.248615,200,149.294605
15960.362332,200,149.751378
18028.33977,200,150.207543
-720.657066,200,150.663597
9440.202652,200,151.119994
-734.347448,200,151.577754
-730.816119,200,152.033523
-730.730428,200,153.920443
7050.535741,200,154.376134
-725.804668,200,154.830714
2908.115566,200,155.283899
-700.437367,200,155.738194
4454.04161,200,156.193404
-741.708206,200,156.64915
-512.699381,200,157.106932
-728.088223,200,157.563534
3622.869902,200,158.016208
959.524245,200,159.885733
-737.399496,200,160.33873
-737.953467,200,160.794543
8080.443924,200,161.249014
-16.908426,200,161.703886
-709.164387,200,162.158355
18549.524319,200,162.613911
-708.800545,200,163.06931
2595.05052,200,163.526284
7569.301429,200,163.979736
-720.597972,200,165.84101
5382.650904,200,166.291169
16471.710876,200,166.741523
17509.787721,200,167.190773
-733.833458,200,167.643339
-741.562764,200,168.092685
1027.711815,200,168.544343
-749.448454,200,168.994287
-725.237527,200,169.444523
-730.108586,200,169.894184
-727.119512,200,171.742137
-213.719807,200,172.192846
-730.007912,200,172.643408
4342.150964,200,173.094039
-721.888613,200,173.544851
-189.546653,200,173.995995
11605.163025,200,174.446197
-718.62532,200,174.897408
-733.418069,200,175.347486
-733.980136,200,175.799694
-729.031881,200,177.639666
11101.693573,200,178.098259
-739.754325,200,178.555567
19480.0,200,179.012555
0.705633,200,179.473604
-733.981269,200,179.931565
-728.143207,200,180.389896
