#{"t_start": 1611506491.8952134, "env_id": "TargetReachingUR5-v0"}
r,l,t
-779.338423,200,2.154422
-781.675939,200,2.614554
-828.302144,200,3.07032
879.18452,200,3.518549
-805.890236,200,3.97073
-777.631451,200,4.427423
-840.866472,200,4.886035
-834.515194,200,5.337363
-811.470409,200,5.783773
-771.744505,200,6.232049
-754.478235,200,8.07147
-776.775066,200,8.517381
-799.25492,200,8.958384
-767.263327,200,9.400275
-783.698342,200,9.843222
-831.631117,200,10.286687
-825.07222,200,10.729455
-809.51608,200,11.171658
-792.828982,200,11.616413
-761.690769,200,12.054909
-783.499918,200,13.876882
-819.69759,200,14.315812
-776.949647,200,14.753958
-772.833795,200,15.192138
-789.730797,200,15.629852
-819.870289,200,16.069334
3912.002717,200,16.511455
-824.385233,200,16.948234
-819.742286,200,17.388002
-766.409246,200,17.827134
-839.868783,200,19.660133
-809.856652,200,20.096377
1585.044529,200,20.534935
-815.884765,200,20.971822
-800.949177,200,21.409591
-804.419885,200,21.847942
-817.025439,200,22.289079
-870.562405,200,22.726603
-805.419181,200,23.164908
-775.199645,200,23.601954
-819.509382,200,25.429569
-746.018365,200,25.870967
-756.519899,200,26.309883
-786.845793,200,26.745994
-818.736655,200,27.18284
4249.553106,200,27.619259
-825.886772,200,28.053629
-760.252256,200,28.491285
-801.627267,200,28.927125
-817.8893,200,29.366356
8331.137057,200,29.806801
-817.26064,200,31.692652
-737.043969,200,32.127779
-838.70892,200,32.565248
-768.183735,200,33.001167
-815.553101,200,33.438099
-820.095819,200,33.874908
-841.987364,200,34.30891
-810.350752,200,34.743966
-853.569336,200,35.17787
-815.653366,200,35.614886
-779.764696,200,37.431269
-729.083008,200,37.870033
-788.130455,200,38.304177
-831.156433,200,38.741314
-738.537356,200,39.174411
-793.516009,200,39.61071
-840.899499,200,40.049398
-841.15441,200,40.484605
-871.191921,200,40.919942
4130.158312,200,41.354097
-802.53492,200,43.143706
-789.036527,200,43.57329
-809.507183,200,44.007367
-757.675701,200,44.438678
-597.860699,200,44.869114
-792.244246,200,45.298274
-804.108198,200,45.731408
-807.018978,200,46.162183
-752.910187,200,46.593676
-811.116781,200,47.026321
-789.992158,200,48.822535
-870.571754,200,49.255404
-832.377956,200,49.686724
-804.937778,200,50.11704
-782.571124,200,50.550682
-784.895869,200,50.982234
-777.244832,200,51.413328
-785.400196,200,51.844169
-730.956308,200,52.275736
-808.30373,200,52.707768
-787.549438,200,53.139064
-816.201992,200,54.968353
-839.68351,200,55.406459
-887.711054,200,55.845941
-795.695977,200,56.283983
-752.359214,200,56.721157
-750.708308,200,57.158985
-804.920642,200,57.59577
-795.742292,200,58.033404
-884.429157,200,58.471677
-759.160077,200,58.910127
-800.760702,200,60.744749
-753.866284,200,61.182709
-771.749744,200,61.618906
-803.274944,200,62.056017
-848.040477,200,62.495338
-755.318627,200,62.932727
-838.146871,200,63.370355
-875.018704,200,63.808423
-745.233943,200,64.245258
-802.699078,200,64.68457
-767.303106,200,66.504921
-798.672066,200,66.936576
-818.411377,200,67.367097
-749.640518,200,67.800005
-756.875775,200,68.233939
-765.626738,200,68.666777
-770.817999,200,69.098844
-427.615039,200,69.529983
-777.600629,200,69.960751
-273.249954,200,70.391673
-776.345629,200,72.181293
-800.401972,200,72.614362
-742.263636,200,73.045733
-813.209712,200,73.476957
-781.548465,200,73.910361
-768.580477,200,74.340272
-745.084544,200,74.769573
-742.367125,200,75.200026
8430.814758,200,75.63187
-765.718196,200,76.063534
-807.270442,200,76.493329
-750.930565,200,78.288352
-744.955839,200,78.719394
-754.133427,200,79.153273
-811.220879,200,79.583631
-905.419179,200,80.018255
-775.859096,200,80.449573
-722.571294,200,80.880824
-765.835977,200,81.309854
-828.400873,200,81.742612
-804.618068,200,82.17398
-770.565818,200,83.966205
-826.213816,200,84.396476
-865.920128,200,84.826538
-773.873813,200,85.257767
-778.225556,200,85.687762
-831.196734,200,86.119666
-769.473098,200,86.551479
-802.093803,200,86.980257
-730.442345,200,87.411223
-772.337259,200,87.842115
-783.705406,200,89.63371
-836.201529,200,90.067148
-769.140994,200,90.498767
-760.550822,200,90.930562
-617.793135,200,91.365229
-730.36518,200,91.796609
-779.597565,200,92.22806
-781.101073,200,92.66072
1927.095789,200,93.092032
-708.893581,200,93.52294
-761.354507,200,95.329578
-785.442223,200,95.763621
-813.540534,200,96.195003
-732.415295,200,96.627085
-776.441003,200,97.058181
-777.941058,200,97.489625
-794.723606,200,97.919823
-819.714805,200,98.353264
-836.205298,200,98.786664
862.423367,200,99.217437
-768.996004,200,99.649517
-777.299363,200,101.459531
-796.860398,200,101.899058
75.726993,200,102.338609
-879.145909,200,102.778847
-771.243326,200,103.218462
-830.148555,200,103.656013
-814.185404,200,104.094887
-765.593445,200,104.53704
-783.842906,200,104.974382
-749.674183,200,105.412277
-786.172147,200,107.250367
-765.165502,200,107.685274
-768.040659,200,108.121922
-777.830187,200,108.558134
-804.009183,200,108.992121
-760.157205,200,109.426833
-768.195843,200,109.863532
-761.658111,200,110.297
-845.798403,200,110.732512
-810.908158,200,111.167233
-758.179312,200,112.977522
-837.016932,200,113.409402
-768.834035,200,113.841139
-769.436349,200,114.271126
605.567938,200,114.701988
-760.873538,200,115.134183
-729.893939,200,115.563295
-808.776222,200,115.995624
-816.175331,200,116.427194
-803.248132,200,116.857955
-786.047894,200,118.65264
-795.885996,200,119.079515
2880.483415,200,119.51216
-798.939004,200,119.942589
-761.254365,200,120.373182
-776.527623,200,120.804895
-748.541693,200,121.236712
-794.911314,200,121.668086
-844.351045,200,122.097485
-774.56331,200,122.528402
-798.97699,200,122.961293
2838.296925,200,124.768714
-799.014458,200,125.206531
-699.183278,200,125.644441
-793.550899,200,126.082534
-767.29914,200,126.520157
-777.109748,200,126.956696
-766.805144,200,127.396693
-738.72869,200,127.83276
-793.538476,200,128.270904
-796.36748,200,128.711592
-722.546772,200,130.549138
-838.30267,200,130.988936
-739.209997,200,131.427558
-771.381732,200,131.867467
5466.177568,200,132.304009
-761.182499,200,132.741157
-810.10108,200,133.179601
-762.721554,200,133.615538
564.67256,200,134.053033
-747.475444,200,134.490848
-730.357522,200,136.324095
-772.645803,200,136.75923
-769.879418,200,137.192767
-715.567342,200,137.628772
-744.490189,200,138.064774
-756.708243,200,138.498943
-770.35405,200,138.933749
-815.504931,200,139.370562
-789.293119,200,139.80718
7848.329646,200,140.24141
-814.421105,200,142.057621
-760.361213,200,142.491369
-794.531945,200,142.928992
-781.859162,200,143.364804
-750.942728,200,143.804204
-826.907421,200,144.238748
-737.047004,200,144.676412
-789.46158,200,145.115144
-735.189974,200,145.552056
-822.50163,200,145.989063
-765.519833,200,146.426486
-734.593499,200,148.260712
-775.864022,200,148.698686
-696.394106,200,149.137757
709.913864,200,149.574569
-801.701637,200,150.012687
-724.206659,200,150.452549
-732.840622,200,150.891327
-810.59459,200,151.326894
-730.727596,200,151.765099
-821.782291,200,152.202847
-774.617138,200,154.014637
-755.018313,200,154.447428
-790.868962,200,154.878113
-801.163457,200,155.309127
-767.715227,200,155.740457
-750.370477,200,156.170937
-758.817673,200,156.602355
-759.207261,200,157.032869
-759.382126,200,157.462938
-722.395715,200,157.895243
-825.566604,200,159.722051
-161.950081,200,160.157634
-749.304208,200,160.59098
824.743739,200,161.025957
-773.068152,200,161.460283
1287.405143,200,161.895538
-272.804389,200,162.330311
-774.573519,200,162.767356
-797.23663,200,163.205316
-814.299179,200,163.640446
-760.553784,200,165.474157
-777.832734,200,165.914103
-802.145849,200,166.353498
1918.809448,200,166.792055
-808.002478,200,167.231223
-819.135351,200,167.668886
-785.948687,200,168.108321
-773.025149,200,168.545763
-762.340709,200,168.98183
-756.559865,200,169.420866
-803.677733,200,171.251288
-766.527207,200,171.685144
-791.582606,200,172.119736
-327.490109,200,172.552907
-788.087031,200,172.990103
-795.201888,200,173.425442
-783.17294,200,173.859724
-809.19369,200,174.297864
-764.3734,200,174.732322
-813.068529,200,175.16636
-748.027529,200,175.603028
-840.252388,200,177.405392
-823.722075,200,177.835531
-808.440594,200,178.266515
-771.255597,200,178.695672
-788.85316,200,179.124146
-749.907945,200,179.555187
-723.738901,200,179.987243
-777.725041,200,180.41637
-745.197805,200,180.843765
-805.878752,200,181.276022
-792.702704,200,183.069806
-793.76326,200,183.500978
-770.644281,200,183.93066
-762.992396,200,184.362218
-840.475926,200,184.790652
1421.098957,200,185.221373
-734.478325,200,185.654969
-775.654111,200,186.086212
-835.265296,200,186.520612
