#{"t_start": 1611585935.8372803, "env_id": "TargetReachingUR5-v0"}
r,l,t
-3747.535373,200,2.795194
-4261.377359,200,3.255716
-3947.89611,200,3.71628
-3301.4541,200,4.176605
-3807.138627,200,4.638223
-3917.316317,200,5.099152
-2256.141634,200,5.560077
-3843.320467,200,6.022299
-3697.89967,200,6.483889
-3977.762544,200,6.947729
-3318.699517,200,8.89542
-3921.424278,200,9.354258
-3431.436579,200,9.809777
-3904.621157,200,10.266232
-3819.966302,200,10.72529
-3480.115238,200,11.181512
-3787.60357,200,11.638597
-3730.288846,200,12.096385
-3422.860254,200,12.551194
-3855.810973,200,13.006788
-4117.789846,200,14.942515
-4005.778804,200,15.406803
-3986.859761,200,15.869722
-3561.642596,200,16.332582
-4114.721329,200,16.796727
-3731.697415,200,17.26042
-3268.57294,200,17.720962
-3954.568093,200,18.182112
-3640.905137,200,18.645912
-2303.734739,200,19.117367
-1670.726595,200,21.032902
-3855.294246,200,21.494463
-3686.458499,200,21.953152
-4022.48101,200,22.415138
-3904.227422,200,22.877656
-3903.363203,200,23.339495
-3855.96647,200,23.801872
-3918.021197,200,24.263306
-3685.488252,200,24.725283
-3930.112696,200,25.189973
-3666.925272,200,27.149992
-4054.040067,200,27.604459
-4028.968612,200,28.061634
-4170.072594,200,28.523094
-3574.417898,200,28.980395
-2776.931987,200,29.434221
-3522.302359,200,29.89004
-3948.492362,200,30.345294
-4073.976852,200,30.803026
-4184.33544,200,31.260106
-3555.097071,200,31.712954
-4033.766951,200,33.67485
-3598.59038,200,34.136952
-3820.774005,200,34.597685
-3729.397581,200,35.068937
-3358.384013,200,35.528153
-4101.343308,200,35.989022
-3538.805799,200,36.450484
-3445.403825,200,36.912395
-3859.972889,200,37.372965
-3692.49849,200,37.83811
-3913.111053,200,39.726879
-4007.24707,200,40.183265
-3605.838377,200,40.639413
-3793.564287,200,41.093437
-4125.296731,200,41.555959
-3719.169841,200,42.012531
-4060.192722,200,42.47038
-1373.05459,200,42.931888
-3753.001426,200,43.389816
-3451.041083,200,43.844959
-3925.597428,200,45.741513
-3930.011669,200,46.203043
-3855.942356,200,46.667115
-3727.831853,200,47.128814
-4203.350516,200,47.589112
-3986.004105,200,48.049382
-3699.251571,200,48.511533
-3761.727856,200,48.97403
-3614.49952,200,49.433585
-3698.291837,200,49.894278
2092.262737,200,51.801913
-2546.890229,200,52.266733
-4068.829191,200,52.731529
-3843.739332,200,53.201676
-3543.113255,200,53.676388
-4024.299396,200,54.140455
-3491.631059,200,54.606437
-4127.985805,200,55.078278
-4045.601219,200,55.543957
-3904.058589,200,56.007641
