#{"t_start": 1611808445.3070138, "env_id": "TargetReachingUR5-v0"}
r,l,t
-3957.955367,200,2.287976
-4406.757521,200,2.759693
-4103.046316,200,3.224798
-3667.765459,200,3.695126
-3926.566919,200,4.160886
-3987.209191,200,4.625661
-3734.700526,200,5.090719
-4165.808903,200,5.554217
-4103.792869,200,6.017084
-3931.359013,200,6.482629
-3883.072157,200,8.487844
-3839.507468,200,8.960531
-4028.533159,200,9.429248
-3613.995755,200,9.892068
-3831.00172,200,10.357607
-4056.510564,200,10.821375
-3747.856331,200,11.288546
-3936.286625,200,11.757811
-3580.405517,200,12.223113
-3800.261476,200,12.689056
-2737.559201,200,14.646565
-3812.381913,200,15.117797
-3701.848626,200,15.582852
-3818.33554,200,16.051956
-4067.227358,200,16.51683
-4305.891834,200,16.985538
-4314.83859,200,17.452844
-3842.433953,200,17.913719
-3933.221179,200,18.370575
-4113.359818,200,18.827564
-3733.401319,200,20.732239
-3631.90872,200,21.183451
-3597.773598,200,21.64092
-3828.946963,200,22.095375
-4236.242409,200,22.552227
-3614.313508,200,23.01274
-3975.296456,200,23.470293
-4229.514295,200,23.925173
-4164.269128,200,24.379189
-3808.627405,200,24.83766
-4131.467588,200,26.730803
-4160.592402,200,27.184633
-3925.717884,200,27.638099
-3590.27686,200,28.093116
-3613.515653,200,28.547748
-4094.089012,200,29.003427
-3927.506228,200,29.460574
-3485.191112,200,29.914095
-3750.720248,200,30.37196
-4015.795145,200,30.825255
-4108.743163,200,31.280695
-3427.702323,200,33.157594
-3904.387354,200,33.607905
-3698.875013,200,34.054239
-3887.914278,200,34.503602
-3624.436585,200,34.954731
-3564.024343,200,35.405189
-3820.345168,200,35.858142
-3820.833089,200,36.310636
-3796.702098,200,36.76041
-3882.593695,200,37.210644
-2825.715145,200,39.072927
-3912.304937,200,39.525048
-3847.511092,200,39.979355
-3827.650487,200,40.432055
-4025.653504,200,40.881276
-3686.892605,200,41.331806
-4112.297505,200,41.782409
-3972.07292,200,42.234714
-3481.731972,200,42.682867
-3500.56909,200,43.131959
-3784.250127,200,44.99145
-3870.772148,200,45.442227
-4080.795003,200,45.897691
-3822.960613,200,46.349981
-4054.340658,200,46.802274
-4014.021474,200,47.252719
-3533.58811,200,47.701331
-4083.765648,200,48.153051
-3641.627447,200,48.608077
-3869.242575,200,49.058651
-3649.343078,200,50.926648
-3394.086959,200,51.382805
-3766.843452,200,51.83495
-3908.044897,200,52.286565
-3839.061326,200,52.739672
-3602.736779,200,53.188787
-4031.019222,200,53.640614
-3967.463621,200,54.089529
-3773.669449,200,54.538757
-3714.49718,200,54.991865
-3507.870156,200,55.441211
-3835.407081,200,57.29822
-3784.458548,200,57.749809
-3778.608347,200,58.200424
-3970.67063,200,58.650646
-4329.919899,200,59.103564
-3816.92844,200,59.55413
-4046.938997,200,60.004
-4421.777944,200,60.454518
-3649.27129,200,60.906951
-3977.874094,200,61.358142
-3723.874474,200,63.202093
-3876.355503,200,63.654832
-3928.009674,200,64.106632
-3717.295253,200,64.562595
-4121.174365,200,65.011215
-4029.457339,200,65.463696
-4000.961498,200,65.914341
-4068.707603,200,66.367456
-3762.275028,200,66.81721
-4007.905091,200,67.270761
-3698.255332,200,69.130233
-3589.618047,200,69.57905
-4089.694568,200,70.029629
-3916.109001,200,70.491196
-3723.734667,200,70.944595
-3726.243081,200,71.394131
-4142.782904,200,71.844902
-3873.930432,200,72.295379
-3997.616259,200,72.747173
-4215.83012,200,73.197536
-3975.807428,200,75.075371
-3713.304376,200,75.5341
-4225.685108,200,75.994991
-4074.421947,200,76.455743
-3881.348237,200,76.917934
-4106.304227,200,77.376756
-3963.510498,200,77.836955
-3962.458799,200,78.29367
-3904.577601,200,78.760609
-3692.266113,200,79.224078
-3996.460924,200,79.681153
-4084.546023,200,81.595019
-3373.633862,200,82.051694
-3856.205536,200,82.507483
-4135.557254,200,82.967226
-4005.878398,200,83.431396
-4042.662483,200,83.892577
-3880.814539,200,84.351303
-3912.229944,200,84.812772
-4122.372356,200,85.276036
-3902.077679,200,85.734403
-3932.81819,200,87.64823
-4322.740975,200,88.106153
-3835.250881,200,88.563531
-4186.931083,200,89.022445
-3919.447715,200,89.479145
-3942.369549,200,89.937561
-4210.962019,200,90.393813
-3916.752153,200,90.856244
-2418.237416,200,91.313127
-4270.01876,200,91.770464
-3887.400978,200,93.691996
-3983.333624,200,94.150372
-4028.906197,200,94.609643
-3981.862378,200,95.070247
-3836.118621,200,95.534663
-3951.570595,200,95.993443
-3994.592916,200,96.451426
-4400.109723,200,96.911528
-3739.264681,200,97.376218
-3933.116499,200,97.833783
-4015.293822,200,99.745481
-4056.930179,200,100.208951
-4033.906536,200,100.665813
-4249.45445,200,101.12563
