#{"t_start": 1611733481.4348462, "env_id": "TargetReachingUR5-v0"}
r,l,t
-4300.721446,200,2.137199
-3199.150312,200,2.602791
-665.650918,200,3.068729
-3826.12342,200,3.535861
-4094.99287,200,3.999884
-4111.974589,200,4.470362
-3952.07877,200,4.948511
-4243.671629,200,5.429277
-4089.630412,200,5.902957
-3850.924597,200,6.380704
-4000.685062,200,8.338947
-3671.631269,200,8.804183
-3811.434361,200,9.273388
-3995.474377,200,9.738529
-3919.61118,200,10.204968
-3806.688799,200,10.67044
-4011.258051,200,11.136485
-3674.446258,200,11.607879
-3745.151327,200,12.07515
-3792.156431,200,12.543605
-4069.489666,200,14.486572
-3579.586376,200,14.947202
-2751.911075,200,15.411079
-3876.390033,200,15.887727
-2745.143725,200,16.368243
-3878.456045,200,16.846525
-3735.031661,200,17.310088
-3911.480282,200,17.785887
-3835.630607,200,18.269367
-4100.311387,200,18.738084
-3914.009043,200,20.674209
-4041.321873,200,21.150282
-3939.866327,200,21.61515
-4232.887035,200,22.079641
-3978.492756,200,22.539
-4130.316164,200,23.000209
-3591.302784,200,23.473957
-3804.301142,200,23.943416
-3999.251227,200,24.415708
-3854.050385,200,24.879325
-4075.775009,200,26.853537
-3961.658771,200,27.327368
-3769.101398,200,27.78879
-3583.614432,200,28.246155
-3789.415903,200,28.69907
-3858.963284,200,29.150228
-2923.094519,200,29.607136
-3806.229226,200,30.060383
-3956.936915,200,30.512822
-3937.619755,200,30.965291
-3291.939585,200,31.416878
-3688.736062,200,33.273729
-3810.33036,200,33.728425
-3767.512298,200,34.183679
-4229.007946,200,34.64096
-3742.399095,200,35.094229
-3724.543051,200,35.550369
-3721.896721,200,36.007655
-4168.14222,200,36.464777
-3898.231177,200,36.920293
-4007.996464,200,37.377476
-3766.577852,200,39.284466
-3912.262239,200,39.743676
-2998.634016,200,40.197137
-3909.664508,200,40.653138
-4003.346942,200,41.110582
-3831.372322,200,41.565797
-3645.383271,200,42.020114
-3826.472282,200,42.473236
-4063.676815,200,42.926677
-3806.164504,200,43.382795
-3751.517833,200,45.26351
-3984.902506,200,45.714091
-3925.463557,200,46.169879
-3547.886189,200,46.618168
-4112.568139,200,47.067291
-3555.997552,200,47.515213
-4026.198794,200,47.964697
-3672.016522,200,48.422574
-3450.527233,200,48.878174
-3736.462527,200,49.326148
-4017.293564,200,51.17276
-4306.549228,200,51.622077
-3804.12325,200,52.074685
-4312.66705,200,52.52662
-4068.446495,200,52.977932
-3733.085025,200,53.427061
-3858.836259,200,53.881356
-3754.649184,200,54.329222
-3872.213543,200,54.778595
-3808.609175,200,55.228412
-4269.558385,200,55.681195
-3829.463638,200,57.541773
