#{"t_start": 1611492408.4248655, "env_id": "TargetReachingUR5-v0"}
r,l,t
-761.022639,200,2.163566
-822.628017,200,2.639519
-786.658489,200,3.103267
317.29864,200,3.552558
-809.926224,200,4.002443
-773.497131,200,4.447504
-822.724976,200,4.893131
-777.605744,200,5.338864
-773.384249,200,5.788645
-840.60384,200,6.237141
-718.817269,200,8.153094
-795.797213,200,8.605685
-817.923153,200,9.050631
-751.734498,200,9.497032
-463.287827,200,9.943747
-773.521018,200,10.391736
-767.834305,200,10.840644
-774.386708,200,11.285905
-838.973718,200,11.735626
-792.57349,200,12.180622
-807.186936,200,14.028639
-751.610592,200,14.47741
-786.866483,200,14.928737
-811.248388,200,15.378424
-800.127532,200,15.829395
-807.644874,200,16.279513
8787.671081,200,16.72887
-796.677676,200,17.176512
-719.698799,200,17.62483
-751.599568,200,18.074553
-755.260574,200,19.934872
-737.253815,200,20.382594
1929.132062,200,20.830943
-789.294602,200,21.280203
-781.376421,200,21.728269
-750.323176,200,22.17789
-763.719273,200,22.628956
-754.961102,200,23.076626
-712.723768,200,23.525537
-723.026638,200,23.975977
-718.106593,200,25.83472
-796.376872,200,26.283861
-747.638393,200,26.730566
-774.516395,200,27.178163
-707.671608,200,27.626644
3538.746347,200,28.076588
-698.546725,200,28.52822
-707.824593,200,28.97593
-707.150056,200,29.423669
-700.641791,200,29.870743
-766.083051,200,30.319342
-752.896496,200,32.216542
-670.336446,200,32.65596
-712.723687,200,33.098399
-669.779782,200,33.5397
-680.347046,200,33.981395
-763.619733,200,34.421854
-763.108911,200,34.862144
-700.714042,200,35.303156
-703.832853,200,35.746999
-763.844226,200,36.188065
-706.922386,200,38.030384
-720.374061,200,38.477235
-738.289965,200,38.925287
-782.168189,200,39.37242
1502.394545,200,39.819027
-689.608255,200,40.264232
-720.65627,200,40.709086
-757.32499,200,41.157286
-655.509303,200,41.603184
-731.509814,200,42.047648
-762.395123,200,43.893426
-750.994388,200,44.342076
-681.969077,200,44.790107
16.023974,200,45.237041
-730.142276,200,45.684862
4398.112461,200,46.133664
-675.025401,200,46.583804
-770.102422,200,47.030032
-712.157184,200,47.476383
-779.43637,200,47.923449
-714.79018,200,49.773513
-633.210432,200,50.21921
-678.429241,200,50.663496
-676.254504,200,51.108608
-666.767793,200,51.552442
-671.911312,200,51.998389
-697.260678,200,52.445028
-706.988795,200,52.891236
-808.268108,200,53.338841
-719.764961,200,53.783099
-753.557841,200,54.227997
-767.631801,200,56.071384
-673.681055,200,56.518276
-665.067754,200,56.964511
-665.275682,200,57.41008
-677.66738,200,57.855856
-699.149718,200,58.300022
-713.716144,200,58.745484
-769.777694,200,59.19231
-720.534811,200,59.640093
-749.093095,200,60.086437
-665.239472,200,61.919897
-693.665221,200,62.367333
-651.360764,200,62.812309
-716.561096,200,63.257286
-717.178444,200,63.702103
-714.271654,200,64.146176
-745.305505,200,64.592455
-676.3859,200,65.035962
