#{"t_start": 1612075367.7545035, "env_id": "TargetReachingUR5-v0"}
r,l,t
-11730.514456,200,2.145068
-7384.844046,200,2.641849
-32876.417906,200,3.144019
-24827.540771,200,3.647268
-9663.987184,200,4.155072
-200.091756,200,4.848225
-202.317995,200,5.28139
-200.277753,200,5.709557
-203.324082,200,6.137331
-200.127272,200,6.562958
-29109.253098,200,7.073742
-16233.131164,200,7.574386
-25289.137602,200,8.074744
-14877.387669,200,8.566752
-11715.705867,200,9.063617
-201.065636,200,9.73848
-201.065493,200,10.165917
-200.048397,200,10.595143
-200.244149,200,11.021902
-200.80293,200,11.449412
-32354.168952,200,13.426753
-29551.7106,200,13.939397
-8227.627248,200,14.470086
-31488.524105,200,14.978986
-4351.435248,200,15.473992
-201.771459,200,16.15945
-207.320652,200,16.623481
-216.224578,200,17.059114
-206.734928,200,17.48913
-216.473812,200,17.915717
-29522.41303,200,18.416721
-49803.137203,200,18.911206
-23340.133822,200,19.403681
-23069.445017,200,19.896428
-16627.757867,200,20.388438
-200.261584,200,21.058593
-399.969516,200,21.487048
-218.711075,200,21.906751
-205.779523,200,22.331672
-202.795871,200,22.753467
-14218.008929,200,24.701931
-17706.082943,200,25.192291
-8991.702578,200,25.682811
-34387.481969,200,26.168473
-7448.630152,200,26.65384
-210.717297,200,27.322305
-225.101228,200,27.747673
-202.294743,200,28.171562
-211.332013,200,28.593826
-247.104628,200,29.014294
-23590.175853,200,29.507042
-10120.900837,200,29.994993
-48784.084544,200,30.485643
-8360.749944,200,30.969926
-21618.217058,200,31.459611
-704.064432,200,32.125721
-237.122722,200,32.552558
-210.926942,200,32.97636
-226.460182,200,33.397518
-205.427069,200,33.818247
-4809.480275,200,35.753829
-21171.221482,200,36.244178
-4996.523995,200,36.730681
-18635.82634,200,37.220132
-13512.975062,200,37.707753
-201.86046,200,38.368253
7166.168803,200,38.793422
-219.955654,200,39.215695
-203.123156,200,39.640123
-231.772475,200,40.064805
-22064.465577,200,40.562455
-42747.695378,200,41.057311
-16489.247846,200,41.544894
-13738.454069,200,42.038186
-14272.709017,200,42.527807
-218.075409,200,43.196365
-229.851231,200,43.621447
-211.866484,200,44.048463
-214.612281,200,44.474756
-236.044093,200,44.899145
-45884.907276,200,46.81732
-25253.153148,200,47.2957
-30348.769887,200,47.786052
-15743.06632,200,48.267736
-20529.011193,200,48.751956
-330.93127,200,49.412474
-205.614337,200,49.830692
-201.949904,200,50.250424
-256.173033,200,50.671732
-202.566338,200,51.091598
-9525.778038,200,51.577576
-5098.070985,200,52.059676
-19530.010957,200,52.544139
-14341.737587,200,53.026673
-30112.715897,200,53.512872
-240.928035,200,54.169778
-217.7617,200,54.588814
-257.57894,200,55.007807
-205.467133,200,55.428818
-254.166565,200,55.847953
-15985.503798,200,56.340319
-7151.429306,200,58.229522
-6199.196564,200,58.71505
-31108.272411,200,59.197651
-22219.080572,200,59.6804
-201.802892,200,60.341875
-265.559704,200,60.761939
-200.428953,200,61.182281
-364.199941,200,61.600617
-645.976516,200,62.021477
-33073.753944,200,62.515798
-22519.073916,200,63.001225
-30736.34302,200,63.486214
-7797.290371,200,63.970049
-4701.762404,200,64.456191
-237.995564,200,65.119998
-218.653532,200,65.540868
-244.25784,200,65.958336
-210.696884,200,66.377629
-209.994954,200,66.794684
-36514.773638,200,67.279546
-7132.14269,200,69.202244
-12113.58492,200,69.693066
-17019.756564,200,70.183925
-26573.391655,200,70.671293
-241.935813,200,71.340032
-213.082119,200,71.765082
-251.981886,200,72.18743
-207.983641,200,72.615942
-253.535625,200,73.037649
-13520.863212,200,73.539921
-4365.706756,200,74.02897
-22483.77259,200,74.522696
-48967.973043,200,75.016245
-14355.859927,200,75.507451
-319.897463,200,76.178267
-262.893935,200,76.604463
-230.843137,200,77.028043
-270.615883,200,77.4566
-209.965876,200,77.887076
-15156.995427,200,78.378724
-17164.721626,200,80.313534
-17898.160006,200,80.806808
-7215.849418,200,81.298979
-17364.390855,200,81.79171
-236.954349,200,82.458349
-235.386412,200,82.885235
-223.043958,200,83.309881
-348.570536,200,83.738619
-234.470257,200,84.166607
-33349.942335,200,84.676198
-5690.639455,200,85.170108
-5460.325811,200,85.662476
-21494.191814,200,86.157794
-15380.787214,200,86.666712
-383.861011,200,87.346282
-375.923125,200,87.772352
-220.000236,200,88.202073
-215.600866,200,88.637668
