#{"t_start": 1612098376.9677615, "env_id": "TargetReachingUR5-v0"}
r,l,t
-1934.113738,200,2.147658
-1310.781437,200,2.640473
-3823.544131,200,3.135473
-1353.756661,200,3.630621
-1954.470891,200,4.122908
-200.183429,200,4.79669
-200.101476,200,5.226293
-200.052154,200,5.65621
-200.137188,200,6.088183
-200.233517,200,6.518419
-1685.410647,200,7.020717
-1287.257186,200,7.513876
-3673.083241,200,8.010638
-1147.867817,200,8.501234
-7233.49051,200,8.994908
-200.061341,200,9.665756
-200.251292,200,10.095
-200.235833,200,10.525138
-200.099816,200,10.952178
-200.022462,200,11.378179
-1457.03431,200,13.351439
-1407.240866,200,13.836262
-1236.806214,200,14.316212
-2691.018085,200,14.797591
-1139.573738,200,15.278621
-200.843537,200,15.937876
-200.768731,200,16.355359
-200.366625,200,16.771174
-200.104907,200,17.191806
-200.05063,200,17.610149
-1334.935435,200,18.094019
-2505.602311,200,18.577389
-8352.698735,200,19.061689
-1237.081406,200,19.541727
-1262.034455,200,20.022248
-200.034768,200,20.677133
-200.514843,200,21.092052
-200.419271,200,21.512391
-200.172374,200,21.928532
-200.142253,200,22.347705
-3556.058224,200,24.298805
-1166.681648,200,24.779759
-1210.798111,200,25.260616
-1582.101498,200,25.742272
-5082.826379,200,26.224498
-200.42006,200,26.880945
-201.443041,200,27.300348
-200.475239,200,27.716872
-200.347431,200,28.136721
-200.554432,200,28.556288
-1510.652344,200,29.044132
-1413.518243,200,29.5223
-1368.543173,200,30.003231
-4757.260974,200,30.486484
-3690.831976,200,30.968702
-200.38892,200,31.623695
-200.154177,200,32.043545
-200.082397,200,32.461307
-200.276175,200,32.879294
-201.722831,200,33.299166
-1761.124094,200,35.208516
-1745.420207,200,35.694272
-1268.387903,200,36.184831
-2707.287263,200,36.674198
-1261.232959,200,37.161586
-200.036151,200,37.824112
-200.199933,200,38.247766
-200.032346,200,38.669526
-200.25274,200,39.090703
-200.055916,200,39.515228
-1478.595419,200,40.007045
-2079.629353,200,40.497685
-1298.907319,200,40.989924
-1470.110927,200,41.480057
-2510.146136,200,41.972112
-200.130291,200,42.634265
-200.076528,200,43.062234
-200.152122,200,43.484951
-200.050752,200,43.911939
-200.109405,200,44.338625
-1279.667118,200,46.249234
-1855.75585,200,46.735816
-1569.629836,200,47.224275
-1515.694745,200,47.711879
-1246.750226,200,48.19875
-200.288405,200,48.858335
-200.762899,200,49.286006
-200.705357,200,49.707133
-200.930957,200,50.128994
-200.306103,200,50.55025
-1291.854777,200,51.040171
-1300.708865,200,51.527685
-1506.012956,200,52.018829
-1277.845485,200,52.508835
-1347.727313,200,52.998604
-200.375426,200,53.661086
-200.388489,200,54.082052
-200.387938,200,54.506635
-200.692786,200,54.929881
-200.624918,200,55.354012
-1483.325938,200,55.847773
-1511.536892,200,57.74651
-1277.178924,200,58.234921
-4431.344433,200,58.722559
-1405.129031,200,59.210614
-200.358859,200,59.873665
-200.750711,200,60.295429
-201.113068,200,60.720873
-201.355206,200,61.145073
-200.640675,200,61.56847
-1320.502723,200,62.059384
