#{"t_start": 1612105927.6269562, "env_id": "TargetReachingUR5-v0"}
r,l,t
-245.115287,200,2.185612
-237.858875,200,2.686508
-243.416144,200,3.186081
-246.404306,200,3.676414
-242.671411,200,4.168566
-200.059473,200,4.83327
-200.025058,200,5.259867
-200.009168,200,5.683224
-200.055837,200,6.108705
-200.146904,200,6.530893
-241.213898,200,7.025584
-245.732805,200,7.516127
-245.4819,200,8.003386
-255.54511,200,8.493266
-241.253696,200,8.984144
-200.076866,200,9.651093
-200.136062,200,10.074978
-200.145921,200,10.497762
-200.043803,200,10.91908
-200.016768,200,11.339657
-240.25519,200,13.282153
-244.987734,200,13.771916
-243.51476,200,14.259908
-242.679085,200,14.747719
-237.686909,200,15.237479
-202.211101,200,15.898028
-201.477989,200,16.320351
-201.870916,200,16.742934
-203.039623,200,17.164264
-202.548613,200,17.58775
-247.402266,200,18.081716
-243.614084,200,18.571465
-249.236756,200,19.060182
-251.437414,200,19.54612
-246.961208,200,20.037725
-202.753393,200,20.698318
-203.068972,200,21.121221
-202.970328,200,21.542967
-201.965281,200,21.964744
-201.705692,200,22.38818
-245.640138,200,24.362885
-247.319581,200,24.853863
-246.097804,200,25.342876
-247.795356,200,25.830024
-245.893353,200,26.316428
-202.842853,200,26.979324
-201.174942,200,27.404213
-207.928562,200,27.828131
-203.180654,200,28.249453
-205.401959,200,28.669167
-241.343847,200,29.160617
-244.250396,200,29.651213
-244.524959,200,30.139937
-246.520335,200,30.62742
-241.789799,200,31.115246
-212.763615,200,31.775773
-208.133222,200,32.200892
-209.167814,200,32.623754
-205.791739,200,33.048066
-204.95518,200,33.471681
-244.139192,200,35.429491
-242.341135,200,35.91438
-243.570475,200,36.396907
-246.531893,200,36.88201
-241.124278,200,37.366111
-205.219346,200,38.023925
-202.174852,200,38.444245
-202.90878,200,38.862677
-206.587845,200,39.283098
-203.330381,200,39.70227
-245.024638,200,40.187615
-243.359006,200,40.672472
-246.567181,200,41.157654
-242.728309,200,41.644229
-250.390173,200,42.126501
-209.581165,200,42.786609
-212.042977,200,43.20795
-211.49113,200,43.628335
-209.193131,200,44.04635
-204.306367,200,44.466599
-242.11889,200,46.420052
-252.227855,200,46.903222
-244.73688,200,47.387134
-251.481166,200,47.86972
-255.214626,200,48.352257
-209.341304,200,49.014741
-207.337358,200,49.434266
-216.290487,200,49.855989
-285.94053,200,50.277339
-219.443156,200,50.698594
-243.198701,200,51.186701
-247.342732,200,51.670044
-239.318272,200,52.156907
-243.745238,200,52.643157
-253.358832,200,53.125546
-210.290582,200,53.784069
-209.086812,200,54.205449
-200.657954,200,54.628994
-202.790242,200,55.048243
-202.240722,200,55.470988
-246.050358,200,55.958421
-246.482853,200,57.921216
-240.553925,200,58.408982
-251.395552,200,58.898136
-246.31678,200,59.38425
-209.558318,200,60.047369
-204.184257,200,60.471257
-207.394951,200,60.895441
-202.774978,200,61.317971
-206.788248,200,61.739289
-245.722168,200,62.232972
-243.616094,200,62.720549
-245.992042,200,63.209174
-244.520839,200,63.697741
-237.225352,200,64.187009
-213.64544,200,64.849765
-208.469843,200,65.272804
-220.891411,200,65.699318
-203.069925,200,66.122416
-208.647748,200,66.543439
-243.347498,200,67.037847
-241.609991,200,68.990575
-247.066104,200,69.478936
-239.920045,200,69.971013
-244.952237,200,70.462585
-213.364902,200,71.123666
-210.07079,200,71.545938
-214.364713,200,71.968255
-217.269528,200,72.391009
-215.471905,200,72.814562
-244.750652,200,73.307032
-245.72409,200,73.796072
-245.064978,200,74.285728
-246.619437,200,74.774961
-245.855031,200,75.265189
-235.528044,200,75.925203
-215.682657,200,76.349881
-216.246275,200,76.777156
-214.895274,200,77.202852
-221.991153,200,77.628952
-253.058721,200,78.122437
-246.956652,200,80.035968
-249.797449,200,80.518118
-243.850577,200,80.999333
-244.017399,200,81.481069
-224.304471,200,82.138412
-227.136689,200,82.554648
-211.083827,200,82.977234
-217.831748,200,83.393336
-220.967201,200,83.812062
-243.27719,200,84.294862
-247.040791,200,84.774797
-250.13398,200,85.258551
-243.667397,200,85.739137
-246.662469,200,86.220685
-237.796639,200,86.877828
-221.299475,200,87.296081
-211.389572,200,87.714916
-230.771277,200,88.131328
-234.677283,200,88.550478
-242.372779,200,89.03812
-250.943815,200,90.962907
-245.837116,200,91.452084
-249.414846,200,91.941183
-250.50215,200,92.432488
-218.128503,200,93.093984
-263.081892,200,93.517773
-228.192266,200,93.941415
-212.376779,200,94.362622
-214.29497,200,94.783935
-241.082153,200,95.276708
-243.63716,200,95.767011
-244.048337,200,96.268252
-251.491156,200,96.769177
-245.725375,200,97.273701
-219.792152,200,97.942214
-233.614072,200,98.366241
-249.512097,200,98.794442
-228.844135,200,99.226627
-274.263267,200,99.659315
-248.499965,200,100.164257
-242.077601,200,100.665096
-243.76041,200,102.617529
-246.00158,200,103.103783
-242.011818,200,103.58958
-233.711701,200,104.250471
-249.960395,200,104.670558
-221.315785,200,105.094599
-276.409303,200,105.519783
-250.758892,200,105.944599
-244.173938,200,106.435385
-249.543388,200,106.925219
-245.412878,200,107.417674
-246.764983,200,107.917676
-245.595006,200,108.41805
-222.32448,200,109.081214
-232.236867,200,109.501044
-232.108745,200,109.926016
-221.579169,200,110.357348
-307.635297,200,110.787193
-245.570612,200,111.288548
-253.219678,200,111.787939
-246.350266,200,113.722104
-245.334132,200,114.201992
-243.582058,200,114.684705
-295.504335,200,115.342363
-294.545233,200,115.759546
-293.577892,200,116.178576
-219.570166,200,116.598641
-260.035243,200,117.01822
-241.460395,200,117.504671
