#{"t_start": 1612163827.0584404, "env_id": "TargetReachingUR5-v0"}
r,l,t
-1187.287659,400,3.154645
-1428.305739,400,3.921556
-400.068863,400,5.031665
-400.031913,400,5.641491
-400.033969,400,6.252916
-400.1472,400,6.862385
-400.058109,400,7.463118
-2395.490511,400,8.217188
-933.43542,400,8.967055
-400.033444,400,10.060198
-400.139802,400,10.66554
-400.113007,400,11.274629
-400.137376,400,11.888718
-400.134201,400,12.495135
-950.979221,400,14.700325
-958.549469,400,15.432385
-402.473446,400,16.532997
-402.319973,400,17.13935
-401.559522,400,17.74243
-402.07757,400,18.347582
-403.650004,400,18.953402
-1052.507774,400,19.685675
-983.066084,400,20.413514
-400.100678,400,21.5016
-401.632634,400,22.110304
-400.262165,400,22.710617
-400.868938,400,23.310498
-402.189048,400,23.912398
-1060.321014,400,26.0781
-1063.589987,400,26.817028
-401.469862,400,27.922894
-404.339001,400,28.524185
-405.706026,400,29.124406
-402.972778,400,29.725339
-405.006781,400,30.327707
-972.806155,400,31.059783
-938.561376,400,31.792481
-406.267047,400,32.883641
-413.207267,400,33.485113
-401.337068,400,34.083468
-403.542019,400,34.684737
-438.131634,400,35.28415
-1885.65854,400,37.464599
-1108.046876,400,38.19082
-402.992003,400,39.276709
-402.65282,400,39.878753
-401.323297,400,40.482796
-400.067114,400,41.085929
-400.063029,400,41.689
-990.740376,400,42.438601
-930.562148,400,43.168839
-401.579558,400,44.254393
-401.53048,400,44.858437
-401.490556,400,45.457384
-400.980055,400,46.058344
-401.786477,400,46.657824
-1004.501414,400,48.838474
-1083.905587,400,49.558386
-402.715972,400,50.637696
-402.166221,400,51.23303
-401.306096,400,51.82712
-400.998624,400,52.434237
-401.093255,400,53.03157
-1031.301484,400,53.755107
-1092.006827,400,54.475579
-404.3944,400,55.550796
-400.28062,400,56.146507
-403.360521,400,56.741986
-407.165979,400,57.339515
-401.180226,400,57.945347
-958.584395,400,60.141497
-1140.153506,400,60.871615
-400.125121,400,61.961017
-400.450943,400,62.572298
-400.749384,400,63.202996
-400.340726,400,63.831527
-401.266944,400,64.459684
-923.359254,400,65.229291
-1096.885082,400,65.996128
-400.548896,400,67.121264
-400.926675,400,67.757109
-401.96602,400,68.387257
-400.818148,400,69.015288
-405.909289,400,69.643706
-987.422594,400,71.842839
-949.404566,400,72.57323
-400.202187,400,73.673497
-401.088812,400,74.279229
-400.174976,400,74.905054
-403.026924,400,75.532702
-400.40644,400,76.160114
-1481.911443,400,76.931887
-1151.357801,400,77.697219
-400.015603,400,78.835989
-403.677996,400,79.46179
-402.792577,400,80.090772
-402.480158,400,80.71847
-401.40101,400,81.347183
-900.255788,400,83.591392
-1030.109172,400,84.332229
-403.949207,400,85.433367
-401.831617,400,86.04094
-400.129727,400,86.666868
-400.235778,400,87.297915
-401.629928,400,87.932683
-1023.641874,400,88.722268
-944.859083,400,89.493927
-402.519732,400,90.631313
-400.549967,400,91.263812
-402.323054,400,91.894541
-402.642994,400,92.526438
-400.439157,400,93.16454
-1124.539057,400,95.401523
-1087.33431,400,96.135334
-400.981553,400,97.231429
-400.440396,400,97.840277
-400.141515,400,98.473917
-400.075082,400,99.107899
-402.361296,400,99.740761
-990.20439,400,100.520385
-1139.138786,400,101.295947
-402.767607,400,102.433119
-400.966643,400,103.067054
-400.407726,400,103.713882
-400.695692,400,104.349726
-402.112296,400,104.984128
-900.590269,400,105.763233
-1126.741593,400,107.943816
-400.252315,400,109.054926
-402.441086,400,109.661687
-400.077002,400,110.288311
-400.638318,400,110.922146
-405.865292,400,111.556938
-1003.901862,400,112.338835
-904.967714,400,113.115679
-401.676448,400,114.272353
-409.264664,400,114.909664
-407.879481,400,115.543334
-400.059495,400,116.178886
-400.163413,400,116.812106
-1072.663397,400,117.60009
-970.997424,400,119.789805
-590.485798,400,120.886334
-404.266536,400,121.499323
-400.98227,400,122.124998
-420.963416,400,122.759446
-439.906387,400,123.394729
-1002.205331,400,124.187581
-1034.317831,400,124.962977
-409.961938,400,126.10263
-401.961044,400,126.736022
-401.104988,400,127.369815
-403.705933,400,128.004567
-403.515182,400,128.638114
-2150.592779,400,129.445086
-907.044551,400,131.672011
-403.516737,400,132.774177
-601.629401,400,133.383687
-412.228815,400,134.008157
-423.483675,400,134.65166
-412.491786,400,135.287728
-1234.137895,400,136.070183
-974.992865,400,136.844286
-432.823985,400,137.986296
-404.855939,400,138.620064
-411.35728,400,139.272422
-400.376422,400,139.910673
-1020.154296,400,140.549147
-974.468112,400,141.32972
-1104.101887,400,143.504247
-405.069323,400,144.594096
-400.840926,400,145.191047
-402.590028,400,145.804266
-403.709698,400,146.427159
-402.893273,400,147.048761
-990.345504,400,147.812307
-1660.173093,400,148.572888
-405.721042,400,149.706658
-410.616422,400,150.331632
-404.537064,400,150.953933
-405.382217,400,151.575233
-405.026605,400,152.194679
-1073.832843,400,152.959156
-978.509585,400,155.17903
-406.803718,400,156.2742
-408.386559,400,156.883706
-409.293971,400,157.501282
-411.788268,400,158.138094
-401.922784,400,158.775816
-904.502608,400,159.564556
-996.97311,400,160.348456
-414.059391,400,161.492206
-412.562841,400,162.127422
-411.984439,400,162.763569
-404.151959,400,163.399475
-410.544633,400,164.034542
-970.17604,400,164.821558
-946.643628,400,167.034817
-402.40172,400,168.125129
-413.117415,400,168.730833
-407.499899,400,169.340093
-407.559315,400,169.982284
-409.617294,400,170.618933
-1016.372723,400,171.392674
-1048.059957,400,172.162947
-406.04231,400,173.294961
-402.173563,400,173.925508
-402.336178,400,174.557864
-414.20216,400,175.201506
-406.842976,400,175.835281
-943.054556,400,176.60776
-1149.509217,400,178.804933
-409.912891,400,179.895064
-406.446272,400,180.50664
-404.259141,400,181.115278
-409.499823,400,181.748523
-403.963516,400,182.379633
-1019.878769,400,183.155219
-945.663302,400,183.924575
-410.48228,400,185.061722
-403.408823,400,185.700525
-405.760536,400,186.335592
-408.455201,400,186.96801
-408.503238,400,187.598629
-4573.24224,400,188.37078
-920.800673,400,190.611198
-410.800283,400,191.689935
-409.06813,400,192.286988
-405.500405,400,192.884455
-411.150936,400,193.502465
-417.129511,400,194.12703
-949.70178,400,194.89104
-970.214964,400,195.65954
-411.018283,400,196.781446
-407.424659,400,197.405181
-407.373561,400,198.028419
-412.70477,400,198.652562
-412.524081,400,199.275418
-949.366431,400,200.038796
-1003.414594,400,200.811426
-404.998309,400,203.315888
-411.597438,400,203.914383
-409.170401,400,204.514251
-408.992646,400,205.130344
-410.500232,400,205.767653
-940.615092,400,206.536116
-964.88859,400,207.297739
-404.85392,400,208.422342
-406.451248,400,209.045205
-407.554707,400,209.671879
-408.763897,400,210.295411
-403.751548,400,210.945475
-963.388469,400,211.711622
-935.042599,400,212.472562
-407.108154,400,214.953852
-407.048574,400,215.551413
-404.348742,400,216.156989
-410.74848,400,216.778499
-403.355303,400,217.401396
-948.712236,400,218.16542
-980.241482,400,218.925953
-408.411994,400,220.05035
-412.449444,400,220.675238
-409.567956,400,221.312118
-408.056117,400,221.93961
-404.225804,400,222.563084
-1133.882385,400,223.326026
-938.989497,400,224.087606
-430.605327,400,226.621109
-419.427413,400,227.2226
-423.408947,400,227.829249
-425.795105,400,228.450396
-413.749585,400,229.079831
-958.934959,400,229.852975
-971.174341,400,230.620898
-437.073377,400,231.756223
-415.738185,400,232.394954
-429.37876,400,233.026116
-448.022461,400,233.659455
-456.271928,400,234.291547
-939.323446,400,235.065965
-1049.577955,400,235.836742
-455.650862,400,238.389505
-444.437163,400,238.998889
-470.327991,400,239.608892
-462.304534,400,240.233677
-454.988666,400,240.872721
-922.937448,400,241.656769
-1055.79258,400,242.43695
-422.112801,400,243.585055
-434.06051,400,244.233258
-419.471266,400,244.871375
-450.181809,400,245.509048
-451.612016,400,246.151172
-990.716533,400,246.933021
-950.284639,400,247.713891
-471.701512,400,248.863371
-460.754204,400,249.510882
-447.973375,400,250.150634
-443.02918,400,250.788893
-478.387967,400,251.428035
-982.171523,400,253.626062
-947.472537,400,254.379839
-507.44617,400,255.501426
-516.327151,400,256.141955
-524.625177,400,256.782339
-496.345479,400,257.423063
-529.022765,400,258.064908
-1008.419823,400,258.851483
-922.19777,400,259.641038
-519.617972,400,260.78972
-538.60379,400,261.428233
-537.886221,400,262.068026
-472.791931,400,262.708596
-538.689339,400,263.34799
-999.790354,400,265.562562
-957.143078,400,266.302653
-452.600323,400,267.422393
-432.615172,400,268.060321
-442.275257,400,268.699395
-428.845335,400,269.342782
-455.870824,400,269.987054
-921.795347,400,270.770581
-1002.76941,400,271.548736
-440.376076,400,272.695443
-430.302295,400,273.333302
-459.236758,400,273.970134
-441.742903,400,274.620755
-438.549082,400,275.260664
-984.42635,400,277.427153
-926.49377,400,278.152586
-488.136967,400,279.249237
-458.955897,400,279.889044
-494.851113,400,280.51779
-494.052888,400,281.144998
-462.858751,400,281.774149
-931.010099,400,282.536439
-960.85546,400,283.296072
-494.960838,400,284.419494
-464.525062,400,285.056645
-492.191557,400,285.682397
-489.335972,400,286.308589
-496.5366,400,286.93389
-910.184008,400,289.095145
-1044.164965,400,289.835876
-529.970439,400,290.942779
-522.3706,400,291.575891
-522.634269,400,292.210022
-516.832729,400,292.843116
-524.569065,400,293.476189
-1066.166704,400,294.249322
-869.846164,400,295.030082
-524.073888,400,296.170345
-530.106408,400,296.801433
-524.612628,400,297.434821
-524.772243,400,298.066172
-517.674473,400,298.697502
-924.301237,400,300.897006
-893.133483,400,301.634025
-613.535258,400,302.73473
-607.67647,400,303.367101
-610.923863,400,304.000889
-611.35123,400,304.634458
-606.901866,400,305.277692
-998.150775,400,306.058878
-1240.453808,400,306.832082
-613.80176,400,307.971765
-602.607403,400,308.609407
-601.290426,400,309.245245
-600.538676,400,309.880957
-606.841533,400,310.525905
-1045.321943,400,312.691432
-951.405897,400,313.415406
1800.49506,400,314.498698
-716.920679,400,315.129306
-731.35378,400,315.768107
-718.01754,400,316.398186
-710.138369,400,317.027943
-1136.097944,400,317.801345
-1032.219283,400,318.565322
-730.603331,400,319.69461
-723.794316,400,320.323603
1318.314315,400,320.961368
582.483493,400,321.589782
-739.331047,400,322.217045
-1608.894327,400,324.39731
-982.549986,400,325.11968
-907.618074,400,326.22279
-778.484031,400,326.842785
-978.838874,400,327.470071
-995.426101,400,328.09787
1327.037848,400,328.725966
-1311.188889,400,329.490478
-922.748543,400,330.251603
-921.097424,400,331.389945
-1054.135673,400,332.017566
-975.3623,400,332.646373
1352.396382,400,333.272868
-1009.681561,400,333.899478
-892.536711,400,336.090321
-949.806823,400,336.816409
-1017.023718,400,337.903226
-980.830498,400,338.523685
-947.454377,400,339.153358
-903.506264,400,339.782451
-1062.315391,400,340.411671
-882.715822,400,341.191307
-948.539526,400,341.955149
-509.141417,400,343.083752
