#{"t_start": 1612173300.4992778, "env_id": "TargetReachingUR5-v0"}
r,l,t
-1152.407447,400,2.393447
-815.410613,400,3.136233
-738.569077,400,3.880891
-709.94661,400,4.630833
-686.683158,400,5.371119
-757.464038,400,7.572842
-985.241003,400,8.297729
-1625.470959,400,9.0275
-924.71398,400,9.763576
-756.557194,400,10.493997
-745.807098,400,12.679564
-2110.542469,400,13.413261
-878.426433,400,14.146196
-708.165889,400,14.893143
-1241.016324,400,15.631795
792.004907,400,17.829821
-2846.28141,400,18.566866
-682.026787,400,19.303912
-2299.718589,400,20.054229
-3025.033479,400,20.793944
-814.587546,400,22.964784
-829.395761,400,23.68965
-1342.174108,400,24.41476
-1026.265496,400,25.153024
-705.0767,400,25.878322
-184.747144,400,26.716647
-224.794107,400,27.315509
-176.20297,400,27.915043
-248.723455,400,28.5161
-212.472464,400,29.115926
-922.173665,400,31.286221
-3477.062465,400,32.033311
-860.573749,400,32.782033
-776.645774,400,33.528553
-1057.131097,400,34.278322
-1071.795881,400,36.493185
-820.15669,400,37.232301
-1071.758396,400,37.976158
-1200.021035,400,38.716831
-2563.326914,400,39.464181
-900.242308,400,41.679525
-759.078257,400,42.420289
-941.528013,400,43.161499
-708.216688,400,43.902959
-885.708109,400,44.673954
-679.402778,400,46.916941
-666.851808,400,47.665123
-950.558958,400,48.413377
-963.412522,400,49.163807
-611.176481,400,49.949674
-787.184205,400,50.729099
-686.615749,400,52.915652
-725.470376,400,53.656139
-909.731332,400,54.396966
-750.093567,400,55.161682
-421.254057,400,56.02655
-220.995102,400,56.653444
-417.646859,400,57.289483
-304.791452,400,57.924326
-259.659785,400,58.554762
-862.268324,400,59.330897
-738.140644,400,61.489014
-646.57165,400,62.224664
-907.422199,400,62.967399
-740.960837,400,63.724993
-717.910266,400,64.487659
-782.300222,400,66.644984
-825.703965,400,67.376099
-679.578642,400,68.113886
-856.826274,400,68.873641
-697.122031,400,69.635852
-867.906305,400,71.806087
-857.897843,400,72.539605
-741.56331,400,73.272635
-908.514741,400,74.019597
-674.223185,400,74.779932
-994.61859,400,76.944491
-656.048801,400,77.669719
-806.080879,400,78.3979
-689.771747,400,79.139978
-800.684508,400,79.897989
-706.965725,400,82.069937
-670.840678,400,82.79914
-748.345001,400,83.532811
-712.722179,400,84.275805
-260.827201,400,85.127237
-243.627767,400,85.752003
-299.215111,400,86.376003
-225.407809,400,87.002512
-141.015863,400,87.628375
-726.593623,400,88.397733
-723.268095,400,90.60446
-807.371018,400,91.324819
-638.335558,400,92.047567
-871.906881,400,92.786064
-799.650738,400,93.546846
-740.224243,400,95.705026
-665.111573,400,96.427826
-765.574453,400,97.150542
-680.85456,400,97.886827
-785.753654,400,98.647106
-643.312507,400,99.410169
-704.936671,400,101.536858
-721.694869,400,102.261168
-751.799629,400,102.994864
-633.136194,400,103.755048
-1111.077017,400,104.516029
-769.23941,400,106.640394
-667.192626,400,107.361959
-882.193883,400,108.090628
-648.952437,400,108.848058
-754.453425,400,109.606731
-691.95049,400,111.738134
-841.005464,400,112.458318
-730.95438,400,113.18676
-179.151261,400,114.033069
-258.287064,400,114.657538
-220.077979,400,115.280123
-200.769039,400,115.90404
-1482.289711,400,116.53091
-671.292574,400,117.300509
-811.379597,400,118.059075
-710.852439,400,120.194683
-798.040564,400,120.922698
-855.977995,400,121.645194
-830.033508,400,122.400406
-677.205651,400,123.158768
-641.346272,400,125.329292
-695.608704,400,126.065801
-599.146828,400,126.798053
-650.752108,400,127.565509
-781.452782,400,128.333183
-636.769618,400,130.509671
-631.7857,400,131.238559
-742.183703,400,131.964949
-793.007648,400,132.713992
-656.288196,400,133.47288
-682.308622,400,135.662966
-678.073204,400,136.402389
-816.385744,400,137.141677
-684.979598,400,137.906776
-667.074086,400,138.684294
-706.278109,400,140.894576
-661.932974,400,141.63479
-662.623261,400,142.377346
-1830.476238,400,143.226571
-2490.962275,400,143.865877
-4890.736274,400,144.506671
-3745.290059,400,145.152378
-893.203619,400,145.789855
-650.357737,400,146.572183
-653.544592,400,147.348212
-846.266684,400,148.126217
-740.861665,400,150.299022
-687.016071,400,151.0373
-697.321994,400,151.784333
-750.749183,400,152.567277
-625.423221,400,153.346646
-841.502091,400,155.534289
-736.733382,400,156.277789
-747.236859,400,157.033376
-657.087349,400,157.812416
-696.315501,400,158.593865
-653.2424,400,160.784657
-789.95286,400,161.525476
-760.510972,400,162.276693
-738.453833,400,163.059475
-655.494516,400,163.84076
-699.323139,400,166.033442
-660.853351,400,166.773073
-743.271862,400,167.517316
-821.534437,400,168.296741
-834.574167,400,169.076102
-966.349944,400,171.279443
-637.981666,400,172.015876
-5303.5344,400,172.866726
-839.283852,400,173.482876
-8828.689646,400,174.134156
-1246.623573,400,174.770987
-15077.174296,400,175.420588
-790.363837,400,176.205294
-900.836506,400,176.984994
-3224.149011,400,177.769199
-774.538489,400,179.960868
-675.828974,400,180.687426
-915.98797,400,181.413415
-677.675604,400,182.164234
-700.311068,400,182.924761
-708.500693,400,185.089156
-675.753894,400,185.815644
-990.862959,400,186.540767
-1019.715289,400,187.293825
-777.251298,400,188.056167
-895.806874,400,190.244824
-691.973169,400,190.981665
-628.610676,400,191.716194
-662.11032,400,192.467847
-610.903804,400,193.240192
-893.960385,400,195.417961
-710.409916,400,196.139805
3742.514924,400,196.862634
-710.001464,400,197.60615
-680.699644,400,198.366764
-779.274958,400,199.1285
-698.854415,400,201.324645
-1213.009758,400,202.174804
-20402.305673,400,202.796123
-866.18362,400,203.418553
-24181.893891,400,204.067355
-934.513463,400,204.708211
-751.754839,400,205.490798
-720.326289,400,206.269921
-768.39774,400,207.0521
-688.464733,400,207.832145
-968.521435,400,210.013465
-639.121107,400,210.753591
-605.882069,400,211.508873
-619.481214,400,212.286957
-760.770949,400,213.065388
-691.624868,400,215.231018
-757.698247,400,215.953561
-743.363414,400,216.684353
-654.683006,400,217.446701
-612.596066,400,218.207139
-864.823005,400,220.349365
-662.328536,400,221.072797
-755.533762,400,221.79904
-524.044995,400,222.561451
-742.319583,400,223.324892
-705.999548,400,225.500451
-703.016043,400,226.238088
-845.610559,400,226.980443
-772.454365,400,227.760235
-583.698238,400,228.542376
12713.181587,400,230.745437
-3749.349676,400,231.593986
-4007.464764,400,232.205456
-3286.432563,400,232.815621
-230.009098,400,233.437163
-5914.993485,400,234.077271
-616.512616,400,234.856848
-714.136482,400,235.632601
-664.253707,400,236.402711
-680.366512,400,237.174634
-614.029241,400,239.410865
-686.212478,400,240.146929
-696.858055,400,240.882761
-601.194186,400,241.640065
-689.216446,400,242.409517
-840.758164,400,244.617798
-808.302551,400,245.350946
-692.251413,400,246.085737
-686.640171,400,246.84064
-674.16551,400,247.612511
-1310.035365,400,248.389707
-739.825285,400,250.529372
-600.978469,400,251.25252
-716.645411,400,251.993706
229.169732,400,252.753004
-699.8728,400,253.516657
-697.045764,400,255.673754
-705.978919,400,256.413297
-804.501876,400,257.173879
-731.821674,400,257.953805
-602.723575,400,258.733571
-1639.693043,400,259.607854
-6806.699778,400,260.256609
-2499.556068,400,260.90544
-592.466456,400,261.551392
-1226.84474,400,262.201278
-705.378749,400,264.382787
-691.15255,400,265.10526
-737.869143,400,265.842688
-717.761929,400,266.609205
-725.075753,400,267.371739
-635.558747,400,269.507788
-769.100513,400,270.23034
2051.812686,400,270.957025
-632.033074,400,271.723267
-727.804077,400,272.487319
-474.752892,400,274.636315
-656.262628,400,275.356767
-739.343376,400,276.082648
-729.806415,400,276.864477
-724.863195,400,277.671257
7489.184074,400,279.874023
-711.988483,400,280.614968
-765.752581,400,281.354818
-595.202755,400,282.128129
-302.822525,400,282.906885
-749.193336,400,285.118057
-690.7608,400,285.857582
-279.48108,400,286.600244
-701.609979,400,287.37202
-786.443405,400,288.150533
-811.15205,400,289.023271
-10418.696312,400,289.673596
-3906.868864,400,290.323808
-5416.989029,400,290.973632
-4864.940022,400,291.623699
-743.407894,400,293.842948
2133.095413,400,294.58204
-785.131413,400,295.322956
-761.161075,400,296.0895
-687.203919,400,296.869344
-737.734475,400,297.649771
-521.487428,400,299.828184
-635.211361,400,300.562165
-741.319331,400,301.303148
918.554507,400,302.074506
-701.415481,400,302.846917
2538.99997,400,304.984883
-636.921905,400,305.708373
-661.578656,400,306.452983
-704.054479,400,307.214188
4052.973773,400,307.97485
-719.75829,400,310.135578
-743.618816,400,310.864013
-655.540087,400,311.604011
-713.61313,400,312.36709
-772.45106,400,313.128042
-664.10448,400,315.275861
-1768.212513,400,316.011713
-750.839034,400,316.750911
-767.521037,400,317.524414
-616.593864,400,318.378149
-2719.627306,400,319.019211
-890.095488,400,319.649936
-835.375342,400,320.283406
2398.656548,400,320.914743
544.645667,400,321.695296
-791.927787,400,323.877613
-636.788545,400,324.610065
-745.536341,400,325.342167
-661.191428,400,326.116761
-627.269005,400,326.889958
-649.008513,400,329.05511
-823.260545,400,329.779112
-911.797848,400,330.499555
-676.555737,400,331.257905
-720.506201,400,332.017555
-753.254133,400,334.17035
-826.451798,400,334.89154
11271.576174,400,335.612175
-655.906012,400,336.36768
-661.864742,400,337.131711
-610.941241,400,339.340038
-735.005857,400,340.067287
-730.977157,400,340.794799
-730.030238,400,341.541077
-639.116933,400,342.305153
-696.351708,400,344.492299
13175.313803,400,345.226242
-695.923643,400,345.963961
-673.960195,400,346.718658
-437.539375,400,347.578435
-516.423476,400,348.214213
-511.445719,400,348.846174
-496.306494,400,349.487221
-451.696715,400,350.119366
-646.097387,400,350.906223
-740.992359,400,351.67906
-653.325458,400,353.864227
-890.905138,400,354.590141
-864.286324,400,355.334797
-1230.169677,400,356.10014
-755.608963,400,356.864156
-622.980086,400,359.022741
-643.356807,400,359.765861
-820.659732,400,360.524856
-800.642011,400,361.305338
-715.155748,400,362.084919
-666.352171,400,364.284772
-834.424502,400,365.027198
-633.887949,400,365.777272
-671.784135,400,366.559098
-820.827552,400,367.337296
-659.005983,400,369.538814
-635.4366,400,370.281598
-744.995062,400,371.02625
-770.355749,400,371.807554
-219.384677,400,372.589886
-634.358571,400,374.785983
-721.713347,400,375.520112
57.2813,400,376.252804
-552.333532,400,377.109145
-438.624424,400,377.743028
-447.955548,400,378.376154
-425.986965,400,379.009971
1265.762629,400,379.645126
-673.168813,400,380.434695
-827.4368,400,381.210023
-626.248664,400,383.393861
-635.265915,400,384.117336
-703.536635,400,384.841111
-623.279275,400,385.606501
-1073.457273,400,386.368672
-6.251555,400,388.532827
-677.559798,400,389.259668
-786.829996,400,389.984102
-773.468255,400,390.74057
-792.909082,400,391.503753
-684.656308,400,393.671387
-780.074341,400,394.392773
-862.277323,400,395.114182
-631.922696,400,395.866939
-897.807548,400,396.629198
-758.884518,400,397.39035
-961.061489,400,399.545857
-680.068985,400,400.289163
-613.234675,400,401.054918
-713.074266,400,401.837535
-771.01437,400,402.619646
-618.616132,400,404.809679
-623.271858,400,405.554873
923.835506,400,406.409003
1664.449073,400,407.04219
-2888.826541,400,407.682102
-5699.347154,400,408.322234
-7337.443792,400,408.964393
-651.314135,400,409.751454
-717.753052,400,410.532745
-759.167067,400,411.314943
-682.148615,400,413.476678
-878.153249,400,414.200093
-725.149631,400,414.93206
-738.231411,400,415.69545
-645.776671,400,416.456615
-694.038748,400,418.610471
1213.137955,400,419.354458
-760.932028,400,420.106815
1178.923795,400,420.888885
-687.812796,400,421.670966
-691.057371,400,423.855143
-721.297848,400,424.583084
5007.000743,400,425.309084
-755.302149,400,426.072004
-931.018751,400,426.837085
-657.842164,400,429.006216
-799.349204,400,429.730353
-672.251432,400,430.458006
-713.642776,400,431.216676
-701.115098,400,431.97804
-691.51442,400,434.138756
-672.281226,400,434.865616
-8328.950831,400,435.707037
-14495.104948,400,436.310655
-7798.973808,400,436.940243
-8612.853975,400,437.571553
-9995.875382,400,438.201521
-718.205278,400,438.968562
-747.195568,400,439.733059
7010.592567,400,440.497344
-667.232957,400,442.718578
-632.666785,400,443.457612
-637.876216,400,444.200238
-690.519576,400,444.966539
-689.727903,400,445.749352
-723.457363,400,446.53074
-808.728537,400,448.709787
-702.242076,400,449.450029
-704.529083,400,450.20232
395.151417,400,450.984756
-785.058452,400,451.768765
