#{"t_start": 1612260142.513521, "env_id": "TargetReachingUR5-v0"}
r,l,t
-1737.551008,400,2.415731
-3595.769751,400,3.197519
-3430.271088,400,3.970001
-3978.711894,400,4.738826
-1906.41009,400,5.508062
-2515.623498,400,7.817705
-3964.195439,400,8.60983
-1208.047401,400,9.403482
-3967.386654,400,10.19462
-1799.857175,400,10.98373
-4539.727075,400,13.257818
-1422.601499,400,14.043797
-3484.344361,400,14.832276
-1538.943039,400,15.624838
-1476.800679,400,16.417897
-982.363282,400,18.674221
-2924.690087,400,19.453234
-2523.289102,400,20.235229
-2250.843978,400,21.022249
-4584.939698,400,21.807467
-2110.146117,400,24.064704
-3418.501849,400,24.858588
-106.248748,400,25.655715
-3512.97394,400,26.448457
-1369.433997,400,27.24025
-743.47074,400,28.143494
-352.083811,400,28.79973
-781.409373,400,29.461549
-352.902984,400,30.118308
-1017.264238,400,30.77966
-5490.802733,400,33.050423
-2669.550964,400,33.834687
-7861.852163,400,34.617907
-2142.3824,400,35.404721
-1078.069125,400,36.192414
-2345.704499,400,38.426192
-2026.112333,400,39.198855
-1145.31543,400,39.972227
-8481.762595,400,40.743463
-1599.938493,400,41.514254
-3137.876902,400,43.73171
-2952.757823,400,44.51027
-1390.338557,400,45.286886
-1248.288898,400,46.064773
-1139.369418,400,46.839718
-1502.207229,400,49.032448
-2452.130496,400,49.808928
-1758.139079,400,50.59144
-7028.372634,400,51.365397
-7240.535081,400,52.145344
-2742.946258,400,52.92768
-3964.936195,400,55.167322
-1238.404753,400,55.940495
-4812.506172,400,56.720718
-1478.992284,400,57.493588
-453.592188,400,58.380621
-1744.05644,400,59.035339
-464.437456,400,59.682193
1128.687227,400,60.337428
-1765.726344,400,60.990879
-3226.575399,400,61.773868
-1687.158048,400,63.984488
-3897.380652,400,64.755695
-1653.237533,400,65.529633
-2444.33969,400,66.303608
-4404.944001,400,67.077664
-9775.375224,400,69.280984
-6594.305018,400,70.054967
-2260.348122,400,70.831966
-1431.320259,400,71.608283
-2658.999121,400,72.386237
-4878.77809,400,74.64916
-2083.735875,400,75.447216
-1295.523554,400,76.245986
-1540.115275,400,77.039248
-1684.557745,400,77.833673
-1128.605694,400,80.063497
-1356.852692,400,80.851457
-1699.571172,400,81.633261
-1000.890936,400,82.41998
-10985.411764,400,83.210643
-1182.060645,400,85.48848
-1309.036791,400,86.282527
-1124.240752,400,87.07609
-1392.741136,400,87.872904
-969.172294,400,88.781003
-823.538967,400,89.446198
-1756.808984,400,90.112755
-549.913156,400,90.775908
-1290.379164,400,91.441464
-1475.439916,400,92.235669
-3120.400429,400,94.449746
-1591.505918,400,95.226656
-2988.65218,400,95.999269
-3546.250408,400,96.769107
-1229.04097,400,97.548132
-1487.795417,400,99.737884
-1349.966373,400,100.509368
-1350.995193,400,101.277336
-1325.250013,400,102.048668
-1147.149455,400,102.822356
-1192.816869,400,103.600576
-1308.566285,400,105.784135
-3918.890363,400,106.559705
-1410.02624,400,107.333733
-3642.20282,400,108.110587
-7963.87326,400,108.883033
-1184.524316,400,111.116995
-1457.542635,400,111.889354
-3648.281562,400,112.664785
-7491.264543,400,113.438465
-8473.91948,400,114.22049
-1209.212062,400,116.486892
-1501.636664,400,117.274247
-1637.826987,400,118.06346
-1601.326462,400,118.966996
-1376.675723,400,119.629116
-668.40864,400,120.28733
-1063.607906,400,120.948833
-1679.975954,400,121.613595
-4063.315251,400,122.407227
-1477.508415,400,123.197753
-5439.046775,400,125.445601
-1434.424332,400,126.221771
-3920.415027,400,127.003505
-2321.544455,400,127.776928
-919.221607,400,128.549021
-3710.808789,400,130.769602
-1342.695049,400,131.557241
-1555.419891,400,132.345644
-3941.338353,400,133.147513
-1177.423567,400,133.928844
-1550.955914,400,136.130502
-1973.852256,400,136.901339
-1634.536299,400,137.674772
-1566.735606,400,138.444911
-2827.710258,400,139.220368
-7591.78032,400,141.428161
-2534.443165,400,142.201832
-7061.590373,400,142.975053
-2120.487724,400,143.751995
-1428.993389,400,144.526018
-1825.984834,400,146.729888
-1501.440496,400,147.505444
-1714.090835,400,148.28658
-2072.498463,400,149.180004
-840.819905,400,149.835487
-1865.22951,400,150.488393
-415.842248,400,151.148262
-2037.606933,400,151.799913
-2232.380638,400,152.584989
-2002.138192,400,153.358833
-1634.576887,400,154.132415
-3946.922032,400,156.331793
-970.204063,400,157.105614
-1614.326147,400,157.880374
-1288.052382,400,158.653794
-1448.4761,400,159.429239
-1622.229894,400,161.620513
-1019.785733,400,162.393161
-3780.069719,400,163.16911
-1558.899371,400,163.938036
-2056.172793,400,164.709427
-1853.226745,400,166.896561
-5562.471612,400,167.673298
-2326.169917,400,168.454019
-1851.388151,400,169.228169
-1488.881969,400,170.003686
-1016.478484,400,172.213628
-1220.935605,400,173.004504
-1702.611414,400,173.790186
-3465.208731,400,174.574828
-4208.205168,400,175.364219
-4609.3987,400,177.601546
-4500.845068,400,178.39727
-3468.78815,400,179.302024
-1817.149714,400,179.968216
-1607.402991,400,180.638559
-2246.484658,400,181.306505
-3006.885973,400,181.973972
-2285.786748,400,182.770096
-1684.497988,400,183.568399
-1295.103669,400,184.363743
-4499.600062,400,186.60335
-1320.625712,400,187.379078
-6374.982037,400,188.155224
-3557.951706,400,188.932047
-3112.374867,400,189.704116
-1355.193264,400,191.927696
-1524.357206,400,192.706922
-1243.493819,400,193.481002
-3897.52845,400,194.259673
-4559.403912,400,195.034352
-1715.487149,400,197.251252
-5534.511427,400,198.037525
-5458.488648,400,198.826753
-1296.219175,400,199.612536
-1018.214716,400,200.394194
-1455.243282,400,202.618215
-1118.536382,400,203.389518
-3084.187787,400,204.170175
-4708.914278,400,204.950273
-1806.746214,400,205.72284
-1643.366174,400,206.496195
-3510.040556,400,208.689507
-3823.76899,400,209.585877
-1494.738177,400,210.244395
-1976.474003,400,210.896188
-2351.278526,400,211.547656
-2899.418593,400,212.200994
-1492.713422,400,212.98485
-1900.106025,400,213.76039
-2073.261647,400,214.532225
-1861.13714,400,215.310014
-1048.168837,400,217.513332
-1484.086746,400,218.284601
-1655.337518,400,219.05914
-2718.59211,400,219.834396
-1203.195365,400,220.60657
-1353.468087,400,222.805249
-1313.601119,400,223.576147
-2622.98112,400,224.351395
-2002.079388,400,225.122758
-922.260737,400,225.89433
-1575.465726,400,228.081733
-1834.845675,400,228.864784
-1284.069719,400,229.636951
-4884.831036,400,230.413661
-1291.637731,400,231.186941
