#{"t_start": 1612267650.040322, "env_id": "TargetReachingUR5-v0"}
r,l,t
-2255.912911,400,2.532618
-3635.825037,400,3.322962
-6179.09505,400,4.149805
-2314.52251,400,4.947283
-6969.923679,400,5.750686
-4504.006661,400,8.008789
-8894.328693,400,8.790685
-2759.330168,400,9.570045
-2575.238269,400,10.353754
-14601.22184,400,11.148117
-4654.3616,400,13.525939
-2430.15361,400,14.299485
-5052.777843,400,15.06936
-5046.460977,400,15.855047
-1907.489892,400,16.625897
-1660.570406,400,18.798878
-5147.49995,400,19.577159
-1861.786989,400,20.34189
-11295.531051,400,21.12668
-2363.404816,400,21.895735
-2983.699824,400,24.084676
3867.3229,400,24.863435
-2573.184134,400,25.64157
-1984.470581,400,26.419029
-4014.949531,400,27.194713
-419.393172,400,28.085811
-431.567318,400,28.73653
-456.924223,400,29.38631
-438.930644,400,30.033161
-423.849104,400,30.678325
-3121.71031,400,32.894938
-3684.408548,400,33.668709
-5328.407924,400,34.443326
-12683.08161,400,35.220245
-9280.66992,400,35.995195
-3776.687865,400,38.208479
-3476.204623,400,38.981949
-2158.480105,400,39.758004
-2971.941376,400,40.528629
-10365.606285,400,41.315722
-3210.87394,400,43.51174
-2374.305176,400,44.294966
-3903.537978,400,45.080569
-2109.50531,400,45.868629
-2198.877991,400,46.656684
-6807.330898,400,48.875204
-2282.682269,400,49.666159
-2389.607167,400,50.459427
-3783.611238,400,51.253893
-7854.239882,400,52.054331
-3836.117673,400,52.853499
-2380.527474,400,55.09626
-2822.077889,400,55.892425
-2486.364768,400,56.690567
-1846.946885,400,57.487955
-436.882093,400,58.392232
-411.790874,400,59.049236
-445.636179,400,59.71179
-421.68696,400,60.371294
-425.530764,400,61.030931
-2053.733582,400,61.825135
-3137.227109,400,64.068851
-2041.367332,400,64.863685
-2059.261241,400,65.651155
-2717.972707,400,66.441585
-4048.232061,400,67.233956
-2812.969078,400,69.465409
-2650.098962,400,70.255817
-2704.96924,400,71.050687
-3296.519095,400,71.844682
-3624.392956,400,72.635208
-1778.847643,400,74.838163
-2219.040239,400,75.609048
-3069.861935,400,76.381947
-12467.747687,400,77.15535
-2818.594081,400,77.928601
-1936.639901,400,80.136493
-5394.327684,400,80.924818
-8287.38258,400,81.707775
-2003.305172,400,82.489461
-3424.009541,400,83.276145
-1389.130115,400,85.499557
-4345.068886,400,86.2811
-10917.115944,400,87.063213
-2132.731682,400,87.846406
2227.769986,400,88.749415
-729.866762,400,89.402346
-1255.631937,400,90.057795
3549.559319,400,90.723886
-466.602442,400,91.383831
-3273.341153,400,92.17622
-3844.08306,400,94.393442
-2772.056649,400,95.177881
-2113.103435,400,95.964303
-4977.250909,400,96.744951
