#{"t_start": 1612179178.5127592, "env_id": "TargetReachingUR5-v0"}
r,l,t
-7312.296962,400,2.366859
-7505.262531,400,3.076594
-7451.299965,400,3.788788
-7798.455694,400,4.480356
-7756.835014,400,5.164183
-8212.017976,400,7.324521
-7724.172976,400,8.010333
-7922.913571,400,8.694265
-7643.686227,400,9.391375
-7537.101,400,10.073131
-7532.541999,400,12.226926
-8021.95462,400,12.909737
-6788.259931,400,13.596445
-6688.178949,400,14.287303
-7407.536504,400,14.973292
-7816.631425,400,17.155842
-7377.116169,400,17.834939
-7063.593071,400,18.518778
-7722.150386,400,19.203277
-8014.797751,400,19.885108
-6954.492325,400,22.00046
-7648.246888,400,22.677213
-7836.576125,400,23.35397
-7640.055448,400,24.030841
-6412.623796,400,24.714509
-139.167075,400,25.504066
-116.104617,400,26.054476
-163.63562,400,26.604246
9695.801717,400,27.154677
-177.229281,400,27.703656
-8046.939231,400,29.86865
-8095.370577,400,30.586694
-7407.265358,400,31.281731
-7752.98734,400,31.967622
-7471.786262,400,32.651184
-6730.991312,400,34.788491
-7656.751883,400,35.474257
-5196.261787,400,36.155918
-7734.687848,400,36.838165
-7978.76042,400,37.524866
-8055.433797,400,39.642243
-8132.805341,400,40.331528
-7708.654171,400,41.013691
-7354.971383,400,41.695025
-7887.194069,400,42.379239
-7784.118068,400,44.495248
-8370.814758,400,45.18981
-7448.736441,400,45.876491
-8052.150743,400,46.5644
-8104.100567,400,47.249679
-7313.428565,400,47.935995
-8092.655298,400,50.049915
-7897.477083,400,50.739094
-7191.395512,400,51.423507
-8054.004523,400,52.107933
-222.590498,400,52.903639
-246.782447,400,53.478529
-256.492505,400,54.035975
-199.124352,400,54.606856
-299.805696,400,55.174601
-7624.759351,400,55.859723
-7183.387661,400,57.951584
-7772.370341,400,58.619953
-8023.946222,400,59.286563
-7893.289718,400,59.954251
-7412.568879,400,60.625276
-6993.494259,400,62.693668
-7139.39496,400,63.358117
-8411.463376,400,64.028111
-7741.558464,400,64.696512
