#{"t_start": 1612193483.2660122, "env_id": "TargetReachingUR5-v0"}
r,l,t
-7419.417575,400,2.39717
-7471.744572,400,3.094614
-7886.308111,400,3.795717
-7167.802923,400,4.506781
-8133.407754,400,5.212147
-7611.289753,400,7.377628
-8041.949528,400,8.06
-7668.556151,400,8.780997
-7637.603208,400,9.472825
-7858.809543,400,10.14748
-7682.540598,400,12.281408
-7248.184176,400,12.951372
-6922.926157,400,13.622669
-7909.852619,400,14.300275
-7337.878084,400,14.976237
-7957.273402,400,17.103516
-7614.123632,400,17.783253
-7670.703562,400,18.455877
-5516.638512,400,19.137322
-7640.237127,400,19.814242
-7182.870924,400,21.908556
-4304.983241,400,22.57971
-7195.613574,400,23.256479
-7677.705967,400,23.930128
-7798.791294,400,24.602535
-138.929652,400,25.402559
-142.393395,400,25.94979
-167.484929,400,26.497468
-140.340221,400,27.046224
-146.109512,400,27.595016
-8019.583922,400,29.749233
-7619.197054,400,30.433414
-7774.959974,400,31.122281
-8595.627544,400,31.817166
-6834.836424,400,32.511485
-7745.161116,400,34.667099
-7877.568573,400,35.356366
-7942.957566,400,36.047898
-5098.746542,400,36.740811
-7565.331288,400,37.428559
-7987.695567,400,39.57478
-7435.952483,400,40.25242
-8402.135591,400,40.92809
-6940.686005,400,41.603008
-7563.011523,400,42.277387
-6741.129815,400,44.360902
-5129.231676,400,45.052045
-7732.670718,400,45.727204
-8407.618438,400,46.405613
-7149.243291,400,47.082314
-7757.718178,400,47.759132
-7745.037448,400,49.845623
-7425.519482,400,50.519276
-8196.763306,400,51.192243
-7153.487901,400,51.868172
-231.692284,400,52.657349
-229.859744,400,53.209966
-239.074105,400,53.759368
-225.357847,400,54.30848
-271.625828,400,54.859648
-7714.495398,400,55.539865
-8054.772489,400,57.631044
-7703.637114,400,58.307024
-7328.443236,400,58.979903
-5983.916013,400,59.657142
-7781.68055,400,60.328877
-7978.667236,400,62.416977
-7317.460986,400,63.086946
-7922.862866,400,63.758336
-8048.526304,400,64.435408
-4266.749282,400,65.106953
-7605.985063,400,67.186729
-8142.602409,400,67.865235
-7512.503342,400,68.539714
-8486.283659,400,69.216761
-7830.340518,400,69.889788
-7929.980053,400,71.99342
-7042.893867,400,72.688526
-7883.158156,400,73.371278
-7888.291459,400,74.055188
-7207.753827,400,74.745982
-7525.1928,400,76.846246
-7377.541533,400,77.53673
-7853.761285,400,78.225566
-8495.672091,400,78.916724
-296.25837,400,79.714929
-281.969314,400,80.269587
-364.358355,400,80.827933
-266.64076,400,81.383957
2004.713093,400,81.939851
-7675.851622,400,82.633692
-7392.463446,400,84.763066
-5930.258008,400,85.451988
-7724.199789,400,86.138767
-8158.881981,400,86.826596
-8078.05588,400,87.516273
-7732.415201,400,89.633297
-8037.774448,400,90.306561
-7758.315753,400,90.978916
-8022.92971,400,91.655649
-7566.7393,400,92.326658
-8310.132919,400,92.998347
-8054.112575,400,95.09777
-7554.6294,400,95.779663
-8578.440584,400,96.463988
-8062.925763,400,97.147942
-7870.431932,400,97.835799
-7839.949247,400,99.952291
-7607.865695,400,100.635686
-7223.558052,400,101.323364
-8372.718459,400,102.011054
-7789.607841,400,102.691702
-7430.745584,400,104.813197
-7649.558102,400,105.495781
-8199.989038,400,106.191836
1509.665198,400,106.988655
-237.914822,400,107.543921
1455.701687,400,108.098651
-348.38418,400,108.65227
765.519136,400,109.207638
-5767.270104,400,109.903504
-7502.472144,400,110.584042
-7706.588518,400,112.710102
-7452.645596,400,113.415655
-7915.336809,400,114.098304
-8031.804468,400,114.792101
-8065.911281,400,115.477731
-7840.043785,400,117.6033
-7781.772476,400,118.287106
